Domain	Phylum	Class	Order	Family	Genus	Species	SGB
Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Poseidoniaceae	UBA226	UBA226 sp012959275	SGB103707
Archaea	Thermoplasmatota	Thermoplasmata	ARK-15	ARK-15	ARK-15		SGB105011
Archaea	Thermoplasmatota	Thermoplasmata	UBA184	UBA184	UBA184		SGB105016
Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae			SGB106229
Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum		SGB108667
Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	UBA57	VHBL01		SGB108692
Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae			SGB108796
Archaea	Nanoarchaeota	Nanoarchaeia	Nanoarchaeales	Nanopusillaceae	Nanopusillus		SGB109086
Archaea	Halobacteriota	Methanocellia	Methanocellales	Methanocellaceae			SGB109087
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halomarina		SGB110575
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halomarina		SGB110576
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus		SGB110577
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus		SGB110578
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus		SGB110579
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus		SGB110580
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Halovivax		SGB110581
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Halovivax		SGB110582
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Halovivax		SGB110583
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Tc-Br11		SGB110584
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Tc-Br11		SGB110585
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Tc-Br11		SGB110586
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Tc-Br11		SGB110587
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Tc-Br11		SGB110588
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	KZCA124		SGB110589
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema		SGB110590
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema		SGB110591
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae			SGB110592
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae			SGB110593
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae			SGB110594
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae			SGB110595
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema		SGB110596
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema		SGB110597
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema		SGB110598
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema		SGB110599
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema		SGB110600
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronococcus		SGB110601
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae			SGB110602
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Tc-Br11-E2g8		SGB110603
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Tc-Br11		SGB110604
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	KZCA124		SGB110605
