5c7657ee-666d-4545-a5f4-e3b97972700c	ef1f9867-c5fc-4ba0-838d-848b58467b10	d479236c-8606-41ad-b8e4-006d816e0494	612c986d-545e-45af-8807-2df49f08a01a	0d28bae3-3b00-457b-a62c-3d9edb9fae8a	adbacf26-5d01-459f-86e0-1967c4c3c9eb	d25be762-5047-437f-a749-1049b8be57a3	4f381a59-5b94-4500-a3e0-66a29d472108	76bc6a3b-9d77-4a38-a663-d1472b59c043	dfc17ebb-83f0-4a37-a961-974e60e5f57e	2bcd07f9-960c-4bf9-a147-93daa514d7e8	fdb23de2-cc37-43b6-97a7-b63fa41b3fd2	bec7eb37-dfcd-41d9-bdfc-0bc5ba8f8330	36ff5b45-340f-4508-97f8-2db37a2c0c1a	0fe3ff8e-33c6-4901-8926-4a941a907c76	b1c1e4d6-33bc-4e44-b0ac-1dee48a9c90b	fd90b87b-1ece-4b8b-8bac-a373b6bfc0d2	8cafea18-38fb-4044-aa6e-e3575baf4f75	9e528736-741f-4de9-9adf-e99566a3ec5c	e35b993e-9261-4c7c-ac5d-5598630adf6f	69d5e82f-530b-4de1-b71c-d97e4fee1b23	8026eead-3968-4929-8ac4-126ead00a55d	5a6ae85c-b6fe-4bed-9d79-2fc3d722416f	667fd635-ee7a-4d22-a128-8d7567559348	3a95fb07-9cd4-4410-ab14-6e08cbe8fb4d	64cfc38a-c2fe-4a3c-a92b-4d5eec3c9bec	7eac574e-7a22-47fe-9e95-027a9469978d	5155defe-cf3b-434d-a79b-f97cbd8b7bb3	a55db179-101c-459f-8fbf-a4d0de76765b	888698af-80c8-466d-9e54-b0e61d24495a	40fcafa2-7823-4086-902c-76edd44c8ad7	e76d515a-fbc3-4b37-b542-c6fe625bd623	f498cd34-8ff0-4a82-b15d-8688abc9435d	216699da-5299-480f-87a1-4c4c5ae57e7b	c88e4fdb-0d46-4ae4-b1e8-98933a35feeb	672ea0fc-3873-4ec8-9d2d-57f3c422c197	135f44a7-adf5-43f1-8c2d-4ba8f92187a2	253c2ac0-4eed-4fd8-8b7a-9b091fdec2fc	e9749d55-fecc-4517-a466-9ead9e6d8413	6f87b662-221b-4811-8fe4-c5237d03d957	f3035faf-d71d-4cb0-bb63-64d7b3c38491	2f242b7c-f644-4a6d-ae13-41f3a2d6f125	c80e6d15-520b-4bd0-a67a-62f8a17c035e	a6a8e3b9-4007-4fe4-a891-b85a100f0b29	3eff4ead-173f-43c0-8bf3-928eda3af235	f47bfcd5-7b4b-4670-980b-3e4c9c4a88cf	4a571d8f-049d-4057-8034-883f1fc99ab2	700a1335-1157-4209-88da-172a9d744849
9410407.814414654	5777981.2102743415	9184796.037223674	7532151.922434992	7899246.4185924	6155705.187826326	6436325.501776843	6677468.43818446	8138674.98075152	7217426.865786705	9363162.084374156	8353799.463877667	6500555.146842122	6883560.184955935	7166515.830577132	8828985.21660169	6702800.523149701	8843366.449874902	9615286.898435723	6459197.4366994025	9458224.373612054	7168042.496473995	7136785.160918742	10160669.917588698	5843842.36567588	7415213.583180187	5424382.244815084	8021270.842258423	9411169.18674586	6867865.236624946	6012761.764798907	6347528.412832503	9089618.433647022	6671703.752506867	8518684.6084474	9782934.429877512	6970509.8755760575	7683906.507719771	7877501.24156706	7206496.09157445	9106074.643547151	9063915.660433864	7425628.693988397	6348754.978298007	9189452.724715898	6879959.311758422	6198706.760755478	7916950.716795946
10679233.16120577	7524152.117957135	10298166.360835465	9355304.438081807	12129925.63377131	7243831.684079733	9337447.753980596	10397797.468582436	9299580.88029926	9350174.557468984	10168423.816454144	9020244.9801252	11143538.804134628	7730326.786612064	7909149.146062494	8883044.100474443	8318715.861242032	10889466.781028848	11087264.536024148	8044449.106302629	12683793.696186231	10238159.398901643	9734787.845987694	13721388.228110459	7464608.471546107	7924995.652949811	8738076.859506464	9710064.59622703	11089246.283186598	10013689.74401659	11798538.050666686	8219458.879643242	10586091.772165136	9495224.804209491	11728885.728698079	11225091.173263777	9371056.120455679	11186292.057646815	12541532.801164627	12651166.996123029	10589714.353527062	10090884.98577515	9213627.984096466	7700459.274916641	11160841.721189622	9754073.061003106	10975870.890195	11893671.107159534
12785.3070046211	6058.9579265923	9885.8040725248	10207.1922889539	10912.9699962003	9526.4970547875	8462.4768481812	9084.4188735941	10613.0715783849	13227.6415883921	15211.1126946098	13267.950347674	6976.470599357	11319.6120675598	11034.6492342774	12643.8843814348	11548.6046560169	15173.2713113339	14682.4210490254	8019.9144486427	10333.0806405961	9365.3695278958	7205.7813846242	11173.9351879523	6634.3219598031	11768.52790165	9284.3638860419	10414.6930505854	11749.4225099667	7382.1964617528	6567.3168753478	9178.9832086095	13727.0652707077	5697.2897090407	14117.8788613291	14942.5423402454	9160.2392699044	8077.883065109	9520.5819064079	5652.5958019275	12994.3824403275	13750.3155760402	9074.1828421835	9931.5667795505	11195.5502197028	12323.7634081753	5541.6993154754	11746.3251420664
12467.2810761528	6907.8692732997	10749.6060935877	10728.1499150237	10208.2929055373	8876.7179779234	8134.7730259206	8719.905925777	10294.039860987	11563.3673900524	13956.3577175344	11979.5786942969	8557.7210652458	10266.4160115537	10923.7759889518	12056.7078557273	10631.4106604873	13693.1215438535	14209.6832119726	8055.6375332989	10245.9621063817	8867.9127804902	8615.7515220849	12786.1639502106	7358.3137344972	10987.3692452291	8590.7785650565	10849.5431680786	11987.7405999556	7855.2785953176	7349.9952151522	9066.9473064432	13802.1124327002	8900.737135833	13496.1722187333	14760.3595652862	9803.5439363018	8221.5601196329	9668.2188499525	9109.9568599049	13494.9283205687	12863.6500008713	9133.0025770871	9113.491388734	10726.1725021636	11409.5987221868	6917.7877306861	11071.7855934071
12032.9513984653	7293.7328967464	11405.3299425901	10864.9201533495	12548.2971876516	8727.6355435553	9894.1800102449	9828.4850565632	11164.8603846827	12161.9574688771	14830.1487074905	12394.5778412246	9872.9953572066	9342.7820388816	10581.8483446674	11073.5379104723	10175.4595002752	13675.3081807004	12143.8389632141	8430.4119427889	13775.3404797836	11081.2428238117	10406.0218488194	14060.5568076736	7826.1278401931	11105.3649901101	8904.9892574277	11403.2616597611	12861.038847738	10689.4341557622	11651.4351631482	9364.3920801184	13606.4300302459	9362.7140737933	12642.8675657319	14288.0397467609	10757.5202637095	11214.0865067393	13580.4774589887	11335.4296640729	13038.6716803399	12998.648810086	9753.1534987238	9456.8661725748	12545.6928099593	10745.4537536437	9968.873140425	14235.7565961282
11570.3585716014	7837.3134389364	12010.1365174789	10131.7214269995	11461.4767258482	8418.0556800793	9670.7913391116	9877.5066788697	10547.9156825694	10187.0017708925	12182.4029165192	10775.8164202337	10133.5777241069	9373.1688434849	9787.1751930934	10899.4288832942	9385.9979171073	12371.1785121842	12532.7299826659	8443.5634889489	13363.4021340588	10854.9302563945	11030.268761136	14976.4684649055	7701.7378901339	9747.2764091751	8158.8051055433	10749.5374227011	12149.1341207408	11044.93804475	11654.053301114	8320.7906522123	12497.5763363428	10758.1731249955	12160.1077081667	13165.0930946499	10279.5341086107	12470.6429598821	13001.2781231775	12311.1958256044	11982.320959076	12122.6360505474	9629.0202038958	8686.6743981993	12268.6289712329	10500.3597734382	10368.1739286845	12546.6678818511
11570.3585716014	7837.3134389364	12010.1365174789	10131.7214269995	11461.4767258482	8418.0556800793	9670.7913391116	9877.5066788697	10547.9156825694	10187.0017708925	12182.4029165192	10775.8164202337	10133.5777241069	9373.1688434849	9787.1751930934	10899.4288832942	9385.9979171073	12371.1785121842	12532.7299826659	8443.5634889489	13363.4021340588	10854.9302563945	11030.268761136	14976.4684649055	7701.7378901339	9747.2764091751	8158.8051055433	10749.5374227011	12149.1341207408	11044.93804475	11654.053301114	8320.7906522123	12497.5763363428	10758.1731249955	12160.1077081667	13165.0930946499	10279.5341086107	12470.6429598821	13001.2781231775	12311.1958256044	11982.320959076	12122.6360505474	9629.0202038958	8686.6743981993	12268.6289712329	10500.3597734382	10368.1739286845	12546.6678818511
11570.3585716014	7837.3134389364	12010.1365174789	10131.7214269995	11461.4767258482	8418.0556800793	9670.7913391116	9877.5066788697	10547.9156825694	10187.0017708925	12182.4029165192	10775.8164202337	10133.5777241069	9373.1688434849	9787.1751930934	10899.4288832942	9385.9979171073	12371.1785121842	12532.7299826659	8443.5634889489	13363.4021340588	10854.9302563945	11030.268761136	14976.4684649055	7701.7378901339	9747.2764091751	8158.8051055433	10749.5374227011	12149.1341207408	11044.93804475	11654.053301114	8320.7906522123	12497.5763363428	10758.1731249955	12160.1077081667	13165.0930946499	10279.5341086107	12470.6429598821	13001.2781231775	12311.1958256044	11982.320959076	12122.6360505474	9629.0202038958	8686.6743981993	12268.6289712329	10500.3597734382	10368.1739286845	12546.6678818511
11365.884287485	5639.1183170616	10954.0308468559	10119.3253586555	12335.6590686556	10134.7638813882	9352.9895957487	10041.630496025	10573.3256124036	14143.136834637	16454.2363865045	13058.2035720676	7946.1865876902	10287.2822397153	11593.0601358692	13157.6713830263	11706.4333119596	15639.7067839085	13938.5248442397	8083.2384519197	12290.6875890278	11509.6389596319	8249.1845577939	11739.0279554611	6868.8459075555	11031.4641389796	9324.9434648452	10434.3907654299	11908.9055522925	8185.5870843628	7352.5282097958	9389.6788138487	14245.0122364779	6946.8077314076	14458.2572682554	15203.8218889755	9243.540515565	9912.4625123879	13224.7443686373	7655.2842144403	13766.6517335591	12753.5542558217	8664.35283434	10036.5264624902	12460.7646400961	13557.9740558405	6369.7232969247	12424.837359863
10985.8103882021	5973.89319998	11281.0370567495	8831.0135490343	10099.360834761	8525.115303228	8738.2207253676	9215.3446781514	9770.7275292853	9658.8837258339	12220.0621694226	10691.580262113	7453.3111653335	8745.6808574696	9704.7516353835	10657.0391289878	9438.7677502951	11999.5341899499	12697.8128853764	7860.9561879232	12162.2776516698	10014.1317493277	9126.0736239056	12589.141262434	6578.2934536601	9275.9834785886	8008.718523726	10048.9933188219	11341.9199235506	9575.2215093834	10386.3758964007	8078.9440575349	11633.484950505701	7760.3371617788	11502.4586052419	12563.2306250787	8788.7517817878	11264.9620225338	14499.7408515296	11300.0487584363	12087.4162511507	11374.4836802626	8287.4847257015	8197.0685299604	11821.2833533427	10378.198457145	8925.4869479277	12651.1434969114
