Domain	Phylum	Class	Order	Family	Genus	Species	SGB	altNames
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	SGB10068	Escherichia coli [SGB10068]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium		SGB102167	Ruthenibacterium  [SGB102167]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Pelethomonas		SGB102185	Pelethomonas  [SGB102185]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp910588455	SGB102197	Lawsonibacter sp910588455 [SGB102197]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp910575265	SGB102199	Lawsonibacter sp910575265 [SGB102199]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp910585815	SGB102200	Lawsonibacter sp910585815 [SGB102200]
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Fimisoma	Fimisoma sp910588185	SGB102224	Fimisoma sp910588185 [SGB102224]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_B	Lachnoclostridium_B sp910588745	SGB102238	Lachnoclostridium_B sp910588745 [SGB102238]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7109		SGB102240	UBA7109  [SGB102240]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Paralachnospira	Paralachnospira sp910587905	SGB102250	Paralachnospira sp910587905 [SGB102250]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor		SGB102258	Acetatifactor  [SGB102258]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Copromonas		SGB102286	Copromonas  [SGB102286]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910588325	SGB102295	UBA3402 sp910588325 [SGB102295]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	W0P33-017		SGB102297	W0P33-017  [SGB102297]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2		SGB102306	14-2  [SGB102306]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp910574835	SGB102314	Merdisoma sp910574835 [SGB102314]
Bacteria	Firmicutes_B	Peptococcia	Peptococcales	Peptococcaceae			SGB102322	 [SGB102322]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA1242	Caccovivens		SGB102382	Caccovivens  [SGB102382]
Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	Scatovivens		SGB102412	Scatovivens  [SGB102412]
Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508			SGB102418	 [SGB102418]
Bacteria	Firmicutes	Bacilli	RF39	UBA660	UBA3789	UBA3789 sp910589335	SGB102469	UBA3789 sp910589335 [SGB102469]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-552	HGM11386		SGB102498	HGM11386  [SGB102498]
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus		SGB102608	Nanosyncoccus  [SGB102608]
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus		SGB102612	Nanosyncoccus  [SGB102612]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp910574475	SGB109668	Merdisoma sp910574475 [SGB109668]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	RGIG4284	RGIG4284 sp910576205	SGB109669	RGIG4284 sp910576205 [SGB109669]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Copromonas	Copromonas sp910575275	SGB109670	Copromonas sp910575275 [SGB109670]
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	BX12	BX12 sp910575405	SGB109671	BX12 sp910575405 [SGB109671]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910575155	SGB109672	14-2 sp910575155 [SGB109672]
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia caecimuris	SGB14802	Adlercreutzia caecimuris [SGB14802]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS856	UMGS856 sp900546265	SGB14937	UMGS856 sp900546265 [SGB14937]
Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium lowii	SGB17080	Corynebacterium lowii [SGB17080]
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium globosum	SGB17279	Bifidobacterium globosum [SGB17279]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	SGB1814	Phocaeicola vulgatus [SGB1814]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercorirosoris	SGB1848	Bacteroides stercorirosoris [SGB1848]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caecimuris	SGB1863	Bacteroides caecimuris [SGB1863]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides congonensis	SGB1878	Bacteroides congonensis [SGB1878]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides goldsteinii	SGB1941	Parabacteroides goldsteinii [SGB1941]
Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum	Mucispirillum schaedleri	SGB19472	Mucispirillum schaedleri [SGB19472]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum gordoncarteri	SGB2087	Muribaculum gordoncarteri [SGB2087]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum intestinale	SGB2088	Muribaculum intestinale [SGB2088]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella dubosii	SGB2089	Duncaniella dubosii [SGB2089]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp001689485	SGB21428	UBA7173 sp001689485 [SGB21428]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA3263	UBA3263 sp001689615	SGB21431	UBA3263 sp001689615 [SGB21431]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp001689685	SGB21441	UBA7173 sp001689685 [SGB21441]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella sp001689575	SGB21445	Duncaniella sp001689575 [SGB21445]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella muris	SGB21446	Duncaniella muris [SGB21446]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002933775	SGB21581	Prevotella sp002933775 [SGB21581]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum intestinale	SGB21584	Paramuribaculum intestinale [SGB21584]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes timonensis	SGB2299	Alistipes timonensis [SGB2299]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002493045	SGB27761	CAG-485 sp002493045 [SGB27761]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485	SGB27763	CAG-485 sp002362485 [SGB27763]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp004102805	SGB27766	UBA7173 sp004102805 [SGB27766]
