PCo	Effect	Estimate	CI_Lower_95	CI_Upper_95	P_Value
PCo.1	ACME	-2.65531914461771	-6.208655990081535	0.9272742587017493	0.134
PCo.1	ADE	-0.9593642840250534	-3.5208726948498272	0.8204207908786507	0.286
PCo.1	Total Effect	-3.614683428642763	-6.285738438768007	-0.9255017952879767	0.012
PCo.1	Prop. Mediated	0.2556716685656508	-0.2223059068997017	1.4927592501682831	0.29
PCo.2	ACME	-4.349920208310252	-6.451555491846846	-2.253604684162158	0
PCo.2	ADE	0.7158878624912839	-0.4100915065892369	2.5441993062799826	0.262
PCo.2	Total Effect	-3.634032345818967	-6.054323043008015	-1.1366032444314598	0.016
PCo.2	Prop. Mediated	-0.15279377949461703	-1.635512568315288	0.10755060468410237	0.278
PCo.3	ACME	-3.744301205005244	-6.3424673144653925	-1.4333837353332362	0
PCo.3	ADE	0.1009969908798034	-1.0117423836664112	1.4787409974402643	0.878
PCo.3	Total Effect	-3.6433042141254406	-6.22654162669102	-1.3173269588658645	0.002
PCo.3	Prop. Mediated	-0.009496576345401998	-0.6578953281674594	0.22264470846243892	0.88
