PCo	Effect	Estimate	CI_Lower_95	CI_Upper_95	P_Value
PCo.1	ACME	-0.1944734385327735	-0.6623863614782336	0.27802637656541335	0.422
PCo.1	ADE	-0.1320312391021922	-0.5643503971759001	0.17119871255959587	0.43
PCo.1	Total Effect	-0.32650467763496566	-0.6332709730277871	-0.01803222362538759	0.046
PCo.1	Prop. Mediated	0.36379863497058273	-1.020557003709297	3.5425995431038255	0.468
PCo.2	ACME	-0.3749769359243167	-0.6628827903975546	-0.10536747222035818	0.002
PCo.2	ADE	0.04670616388853069	-0.10627650449581762	0.25350193660655296	0.53
PCo.2	Total Effect	-0.328270772035786	-0.6413520712797162	-0.029171351007438246	0.038
PCo.2	Prop. Mediated	-0.07593013193406081	-2.1648366270146275	0.39509030260506645	0.568
PCo.3	ACME	-0.325850089464754	-0.5846436448506749	-0.06686261232342637	0.018
PCo.3	ADE	-0.0010917994148572962	-0.1380959829905693	0.1343041502803202	0.982
PCo.3	Total Effect	-0.3269418888796113	-0.602115652871092	-0.039262010569781174	0.042
PCo.3	Prop. Mediated	0.0030777247269969045	-0.7509787810379825	0.6033349903765078	0.948
