term	AlphaIndex	estimate	std.error	statistic	p.value
(Intercept)	dbp_dominance	0.20550382523977143	0.03519290529848695	5.839353798636417	1.0321855601923602e-5
(Intercept)	observed_richness	249.41976138399951	34.01135591951346	7.333425987903616	4.350537410466252e-7
(Intercept)	shannon_diversity	3.6509472791970463	0.1550890366078003	23.540975939065312	4.707879636983485e-16
(Intercept)	gini	0.9151098601254364	0.020280452570464617	45.122753397434245	1.342343208673007e-21
genotypeThy1-ASO	dbp_dominance	-0.025702003416781777	0.013580826255887133	-1.8925213335705735	0.07298688561371126
genotypeThy1-ASO	observed_richness	-8.994489089281787	13.124870241670822	-0.685301181929001	0.5010204103484759
genotypeThy1-ASO	shannon_diversity	-0.0481640720596506	0.05984834848102208	-0.8047686073563657	0.43041671293641626
genotypeThy1-ASO	gini	0.008999423661901701	0.007826159858478093	1.1499156450468628	0.26374370810621056
number_reads	dbp_dominance	4.694727817208108e-10	3.57886674075862e-10	1.3117917366805776	0.20444941110163287
number_reads	observed_richness	3.924678757867233e-7	3.4587116203129664e-7	1.1347227490195042	0.26990877161052634
number_reads	shannon_diversity	2.6889581288740636e-9	1.5771445700898573e-9	1.7049534835737101	0.10368867408940358
number_reads	gini	-3.7664987363185283e-10	2.0623769642311676e-10	-1.8262901504636615	0.08277331386834819
treatmentF. prausnitzii	dbp_dominance	-0.005533297574406059	0.013356932686719227	-0.4142640907300376	0.6830899358010116
treatmentF. prausnitzii	observed_richness	-15.774947816818493	12.908493565619946	-1.2220595483606984	0.23589328684844832
treatmentF. prausnitzii	shannon_diversity	0.0108175673754367	0.058861688310444304	0.18377942743306008	0.8560369828375505
treatmentF. prausnitzii	gini	0.005074808047362886	0.007697137748145618	0.6593110599567353	0.5172163445181588
