kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1xD42_87	t__SGB29426	genotype	Thy1-ASO	genotypeThy1-ASO	2.4826685549486323	-0.31671735648694543	0.5821372365756682	3.7240907254765254e-5	0.0350329966652807	7.448042762435734e-5	0.04329795525895974	NA	linear	48	38
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor_SGB94872	t__SGB94872	treatment	benCom	treatmentbenCom	8.262811562840579	0.2115573187021315	0.7581432924098342	1.5340016656595346e-5	0.0350329966652807	1.5340016656595346e-5	0.026752989049102283	NA	linear	48	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28851	s__GGB28851_SGB41518	t__SGB41518	cohort	Fp7	cohortFp7	2.4299315809498805	-0.12548667213894488	0.5458427563618466	3.726914538859649e-5	0.0350329966652807	3.726914538859649e-5	0.03249869477885614	NA	linear	48	46
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Anaerotruncus	s__Anaerotruncus_sp_1XD42_93	t__SGB43003	treatment	F. prausnitzii	treatmentF. prausnitzii	-3.0071109169754275	0.30905520110379014	0.7678253434304064	1.0403239578016255e-4	0.0733428390250146	1.0403239578016255e-4	0.04535812456015087	NA	linear	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	Thy1-ASO	genotypeThy1-ASO	3.6968418257680673	-0.31671735648694543	0.9522336640665892	1.894822880372793e-4	0.10686801045302552	3.7892867253707903e-4	0.11014193415077765	NA	linear	48	38
k__Bacteria	p__Firmicutes	c__CFGB9508	o__OFGB9508	f__FGB9508	g__GGB28384	s__GGB28384_SGB40964	t__SGB40964	treatment	benCom	treatmentbenCom	4.842106621668314	0.2115573187021315	0.8227375722638811	2.3374977575318923e-4	0.10986239460399894	2.3374977575318923e-4	0.0815319217827124	NA	linear	48	15
k__Bacteria	p__Candidatus_Saccharibacteria	c__CFGB9318	o__OFGB9318	f__FGB9318	g__GGB73364	s__GGB73364_SGB102608	t__SGB102608	genotype	Thy1-ASO	genotypeThy1-ASO	4.910307506039836	-0.31671735648694543	0.9292096098643265	3.325762477847105e-4	0.13398071696469765	6.650418886088304e-4	0.15103742564694322	NA	linear	48	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41569	cohort	Fp7	cohortFp7	1.3248409456775045	-0.12548667213894488	0.3818567737219941	6.214792737881947e-4	0.15268920441432132	0.0012425723110886418	0.15103742564694322	NA	linear	48	46
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28957	s__GGB28957_SGB41666	t__SGB41666	treatment	benCom	treatmentbenCom	-3.1923944107612603	0.2115573187021315	0.9059787997269109	6.053235894649678e-4	0.15268920441432132	0.001210280762281973	0.15103742564694322	NA	linear	48	44
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28854	s__GGB28854_SGB41523	t__SGB41523	cohort	Fp7	cohortFp7	1.569395879773976	-0.12548667213894488	0.44921749595046145	6.497412953800907e-4	0.15268920441432132	0.0012990604270092594	0.15103742564694322	NA	linear	48	44
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB42330	s__GGB42330_SGB59498	t__SGB59498	treatment	benCom	treatmentbenCom	7.811902807878426	0.2115573187021315	1.6991733192349476	5.359311629145047e-4	0.15268920441432132	0.0010715751036176264	0.15103742564694322	NA	linear	48	19
k__Bacteria	p__Candidatus_Saccharibacteria	c__CFGB9318	o__OFGB9318	f__FGB9318	g__GGB73364	s__GGB73364_SGB102608	t__SGB102608	cohort	Fp7	cohortFp7	-5.652010747294802	-0.12548667213894488	1.0536246615224396	5.4632735465443e-4	0.15268920441432132	0.0010923562357304168	0.15103742564694322	NA	linear	48	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28956	s__GGB28956_SGB41665	t__SGB41665	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.2964480687679176	0.30905520110379014	0.4280522018886449	7.386689847276307e-4	0.16023434899476297	7.386689847276307e-4	0.15103742564694322	NA	linear	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	cohort	Fp7	cohortFp7	2.5946495222709496	-0.12548667213894488	0.7676651830930604	0.0010374059189268703	0.16510884695536587	0.0010374059189268703	0.15103742564694322	NA	linear	48	48
