kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28898	s__GGB28898_SGB41580	t__SGB41580	genotype	Thy1-ASO	genotypeThy1-ASO	1.9453476822336355	-0.3327909483959496	0.35704458587156557	5.291000270424284e-5	0.016719560854540738	1.0581720594009945e-4	0.02132216699693004	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__GGB28778	s__GGB28778_SGB41431	t__SGB41431	genotype	Thy1-ASO	genotypeThy1-ASO	2.8995169754777175	-0.3327909483959496	0.5226354960441664	4.075097292410845e-5	0.016719560854540738	8.150028520642261e-5	0.02132216699693004	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__CFGB77305	o__OFGB77305	f__FGB77305	g__GGB28828	s__GGB28828_SGB41484	t__SGB41484	genotype	Thy1-ASO	genotypeThy1-ASO	4.445723430806363	-0.3327909483959496	0.8071685865692036	2.3594276840288586e-4	0.037278957407655966	2.3594276840288586e-4	0.02377123391659075	NA	linear	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Pumilibacteraceae	g__Pumilibacter	s__Pumilibacter_sp_CLA_AA_M10	t__SGB41020	genotype	Thy1-ASO	genotypeThy1-ASO	-2.961155297567048	-0.3327909483959496	0.49334096719374887	2.2369286243018038e-4	0.037278957407655966	2.2369286243018038e-4	0.02377123391659075	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28954	s__GGB28954_SGB41662	t__SGB41662	genotype	Thy1-ASO	genotypeThy1-ASO	1.1716047757362649	-0.3327909483959496	0.32602344070440104	6.490781442722859e-4	0.07052671661209686	6.490781442722859e-4	0.04497194113081493	NA	linear	16	16
k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Mucispirillaceae	g__Mucispirillum	s__Mucispirillum_schaedleri	t__SGB19472	genotype	Thy1-ASO	genotypeThy1-ASO	1.4693561667234993	-0.3327909483959496	0.40724928100575286	7.811503422225918e-4	0.07052671661209686	7.811503422225918e-4	0.04497194113081493	NA	linear	16	16
k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__GGB28317	s__GGB28317_SGB40889	t__SGB40889	genotype	Thy1-ASO	genotypeThy1-ASO	1.3697843196365442	-0.3327909483959496	0.37761511264936687	7.063940198626106e-4	0.07052671661209686	7.063940198626106e-4	0.04497194113081493	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28881	s__GGB28881_SGB41561	t__SGB41561	genotype	Thy1-ASO	genotypeThy1-ASO	1.4778376373590005	-0.3327909483959496	0.4523996968692422	0.00165498425094035	0.09539309231976582	0.00165498425094035	0.07434556579703269	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28949	s__GGB28949_SGB41656	t__SGB41656	genotype	Thy1-ASO	genotypeThy1-ASO	1.4684128824174343	-0.3327909483959496	0.4255140140832508	0.0014854345516956968	0.09539309231976582	0.0029686625875840235	0.09202854021510473	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41475	genotype	Thy1-ASO	genotypeThy1-ASO	0.4287913647491473	-0.3327909483959496	0.16178104903963933	0.001660322809363013	0.09539309231976582	0.001660322809363013	0.07434556579703269	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	Thy1-ASO	genotypeThy1-ASO	5.036954990179134	-0.3327909483959496	1.3341993270142516	0.0014806979502116624	0.09539309231976582	0.0029592034340035628	0.09202854021510473	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28933	s__GGB28933_SGB41634	t__SGB41634	genotype	Thy1-ASO	genotypeThy1-ASO	-3.4418887983492237	-0.3327909483959496	0.8049576714121603	0.0018610981900120116	0.09801783800729927	0.0018610981900120116	0.07500225705748406	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30468	s__GGB30468_SGB43552	t__SGB43552	genotype	Thy1-ASO	genotypeThy1-ASO	0.9930766727336413	-0.3327909483959496	0.3421641845659694	0.002390480596538902	0.11621413361635277	0.002390480596538902	0.08757851640047068	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__CFGB77306	o__OFGB77306	f__FGB77306	g__GGB25052	s__GGB25052_SGB36974	t__SGB36974	genotype	Thy1-ASO	genotypeThy1-ASO	1.916379521311074	-0.3327909483959496	0.5659367662045421	0.00297926413097116	0.11768093317336081	0.0059496522471802265	0.14985686597585196	NA	linear	16	12
k__Bacteria	p__Firmicutes	c__CFGB77306	o__OFGB77306	f__FGB77306	g__GGB20146	s__GGB20146_SGB29427	t__SGB29427	genotype	Thy1-ASO	genotypeThy1-ASO	-3.9120549161933242	-0.3327909483959496	0.9553914154988986	0.0029130322198784864	0.11768093317336081	0.005817578683042922	0.14985686597585196	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB30147	s__GGB30147_SGB43074	t__SGB43074	genotype	Thy1-ASO	genotypeThy1-ASO	2.3634356962511904	-0.3327909483959496	0.7242565716175539	0.0028112080392059813	0.11768093317336081	0.005614513187772268	0.14985686597585196	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28910	s__GGB28910_SGB41604	t__SGB41604	genotype	Thy1-ASO	genotypeThy1-ASO	4.900690640978111	-0.3327909483959496	0.8957627198949001	0.004419533628926331	0.16430266196949656	0.00881953498035545	0.19534324540225642	NA	linear	16	6
k__Bacteria	p__Candidatus_Saccharibacteria	c__CFGB9318	o__OFGB9318	f__FGB9318	g__GGB73364	s__GGB73364_SGB102608	t__SGB102608	genotype	Thy1-ASO	genotypeThy1-ASO	4.910307506039838	-0.3327909483959496	1.1733213080413403	0.00669629078894296	0.23511420992288617	0.013347741267555837	0.22413082211770843	NA	linear	16	7
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28968	s__GGB28968_SGB41679	t__SGB41679	genotype	Thy1-ASO	genotypeThy1-ASO	0.8001526699034774	-0.3327909483959496	0.35640374731925983	0.008850241879260423	0.2910275050608307	0.008850241879260423	0.19534324540225642	NA	linear	16	16
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB40323	genotype	Thy1-ASO	genotypeThy1-ASO	-1.9855160546831625	-0.3327909483959496	0.5362981767388959	0.009209731172811098	0.2910275050608307	0.009209731172811098	0.19534324540225642	NA	linear	16	16
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1XD42_76	t__SGB41647	genotype	Thy1-ASO	genotypeThy1-ASO	0.5224928270312397	-0.3327909483959496	0.26852676135311115	0.010622055218319604	0.29520048986369096	0.010622055218319604	0.20505321944127852	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB74395	s__GGB74395_SGB43523	t__SGB43523	genotype	Thy1-ASO	genotypeThy1-ASO	1.5483137510626916	-0.3327909483959496	0.6308753235167673	0.010743055802001411	0.29520048986369096	0.010743055802001411	0.20505321944127852	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__CFGB9622	o__OFGB9622	f__FGB9622	g__GGB28810	s__GGB28810_SGB41465	t__SGB41465	genotype	Thy1-ASO	genotypeThy1-ASO	0.8362354527421386	-0.3327909483959496	0.3868934815682363	0.011702789198881902	0.2958465109477345	0.011702789198881902	0.20505321944127852	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__CFGB77250	o__OFGB77250	f__FGB77250	g__GGB30408	s__GGB30408_SGB43438	t__SGB43438	genotype	Thy1-ASO	genotypeThy1-ASO	1.6577578210808956	-0.3327909483959496	0.6762226801262821	0.011581253877745223	0.2958465109477345	0.011581253877745223	0.20505321944127852	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28836	s__GGB28836_SGB41496	t__SGB41496	genotype	Thy1-ASO	genotypeThy1-ASO	4.6409952411947675	-0.3327909483959496	1.4187384917603711	0.01289859870824761	0.31353516860048036	0.025630823567858806	0.3332007063821645	NA	linear	16	8
k__Bacteria	p__Firmicutes	c__CFGB9575	o__OFGB9575	f__FGB9575	g__GGB28632	s__GGB28632_SGB41253	t__SGB41253	genotype	Thy1-ASO	genotypeThy1-ASO	1.6315398117788493	-0.3327909483959496	0.6668527759856072	0.014248650264089946	0.3294875220678226	0.028294276493831552	0.33370712611413567	NA	linear	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Oscillospiraceae_unclassified	s__Oscillospiraceae_unclassified_SGB43526	t__SGB43526	genotype	Thy1-ASO	genotypeThy1-ASO	-3.106543716280597	-0.3327909483959496	0.8538933447914233	0.014597548446042774	0.3294875220678226	0.02898200847145099	0.33370712611413567	NA	linear	16	9
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Dorea	s__Dorea_sp_5_2	t__SGB7275	genotype	Thy1-ASO	genotypeThy1-ASO	1.1221151695791567	-0.3327909483959496	0.5264673021567393	0.017028489059528917	0.37110362364214744	0.017028489059528917	0.27449924363960615	NA	linear	16	16
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	genotype	Thy1-ASO	genotypeThy1-ASO	0.9334044924555595	-0.3327909483959496	0.47657290575346506	0.021451737139299043	0.3794503419553246	0.021451737139299043	0.2881683355712505	NA	linear	16	16
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1xD42_87	t__SGB29426	genotype	Thy1-ASO	genotypeThy1-ASO	2.486394168492274	-0.3327909483959496	1.0220385210838403	0.02269328105730095	0.3794503419553246	0.044871577109456266	0.4295294920570033	NA	linear	16	11
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1xD8_48	t__SGB41627	genotype	Thy1-ASO	genotypeThy1-ASO	0.6676253938276081	-0.3327909483959496	0.37095367902807974	0.02383006021280165	0.3794503419553246	0.04709224865585755	0.4295294920570033	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28790	s__GGB28790_SGB59770	t__SGB59770	genotype	Thy1-ASO	genotypeThy1-ASO	5.500069154257929	-0.3327909483959496	0.9328463342427481	0.025001348612313623	0.3794503419553246	0.04937762979219282	0.4295294920570033	NA	linear	16	4
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41421	genotype	Thy1-ASO	genotypeThy1-ASO	-2.1351996866280722	-0.3327909483959496	0.6769925615556324	0.019820807681920183	0.3794503419553246	0.019820807681920183	0.2837060382621866	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41519	genotype	Thy1-ASO	genotypeThy1-ASO	-3.0011627059555077	-0.3327909483959496	1.0034006046771653	0.019257633778157146	0.3794503419553246	0.019257633778157146	0.2837060382621866	NA	linear	16	16
