kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__CFGB10299	o__OFGB10299	f__FGB10299	g__GGB47127	s__GGB47127_SGB65053	t__SGB65053	genotype	Thy1-ASO	genotypeThy1-ASO	-3.5157158351036824	0	1.3696205444531642	0.010260423642447117	0.29520048986369096	0.020415570991571742	0.2837060382621866	NA	logistic	16	8
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalibaculum	s__Faecalibaculum_rodentium	t__SGB4047	genotype	Thy1-ASO	genotypeThy1-ASO	-2.779509165083259	0	1.2419235975447076	0.025216636648929626	0.3794503419553246	0.0497973945339751	0.4295294920570033	NA	logistic	16	9
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__Bacteria_unclassified_SGB41677	t__SGB41677	genotype	Thy1-ASO	genotypeThy1-ASO	2.7795091650832537	0	1.241923597544706	0.025216636648929737	0.3794503419553246	0.04979739453397533	0.4295294920570033	NA	logistic	16	9
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Pumilibacteraceae	g__GGB28430	s__GGB28430_SGB41013	t__SGB41013	genotype	Thy1-ASO	genotypeThy1-ASO	-2.77950916508326	0	1.2419235975447078	0.025216636648929626	0.3794503419553246	0.0497973945339751	0.4295294920570033	NA	logistic	16	9
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Oscillospiraceae_unclassified	s__Oscillospiraceae_unclassified_SGB43526	t__SGB43526	genotype	Thy1-ASO	genotypeThy1-ASO	-2.779509165083258	0	1.2419235975447085	0.0252166366489298	0.3794503419553246	0.02898200847145099	0.33370712611413567	NA	logistic	16	9
k__Bacteria	p__Candidatus_Saccharibacteria	c__CFGB9318	o__OFGB9318	f__FGB9318	g__GGB73364	s__GGB73364_SGB102608	t__SGB102608	genotype	Thy1-ASO	genotypeThy1-ASO	2.7795091650832657	0	1.2419235975447076	0.02521663664892926	0.3794503419553246	0.013347741267555837	0.22413082211770843	NA	logistic	16	7
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB46152	s__GGB46152_SGB63920	t__SGB63920	genotype	Thy1-ASO	genotypeThy1-ASO	-2.7795091650832604	0	1.2419235975447076	0.025216636648929557	0.3794503419553246	0.04979739453397498	0.4295294920570033	NA	logistic	16	9
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Granulimonas	s__Granulimonas_faecalis	t__SGB33580	genotype	Thy1-ASO	genotypeThy1-ASO	-4.518158808971932	0	2.1738508322295806	0.03767137959136788	0.4578521519566329	0.03767137959136788	0.4103125939276015	NA	logistic	16	6
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB27893	s__GGB27893_SGB40327	t__SGB40327	genotype	Thy1-ASO	genotypeThy1-ASO	4.518158808971928	0	2.1738508322295864	0.037671379591368535	0.4578521519566329	0.0739236263424201	0.496520356933255	NA	logistic	16	10
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28910	s__GGB28910_SGB41604	t__SGB41604	genotype	Thy1-ASO	genotypeThy1-ASO	2.2374309978137177	0	1.1983733581344338	0.06189367139068158	0.5698109195944968	0.00881953498035545	0.19534324540225642	NA	logistic	16	6
