"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB41431"	"genotype"	"ASO"	"genotypeASO"	2.8994950937478	-0.334553933930976	0.52261861733821	4.07334596963516e-05	0.0174740452519724	8.14652601779642e-05	0.0222691473513876	NA	"abundance"	16	15
"t__SGB41580"	"genotype"	"ASO"	"genotypeASO"	1.94649167726973	-0.334553933930976	0.357106512188702	5.51231711418687e-05	0.0174740452519724	0.000110243303719741	0.0222691473513876	NA	"abundance"	16	14
"t__SGB41020"	"genotype"	"ASO"	"genotypeASO"	-2.96388424404742	-0.334553933930976	0.493555856804958	0.000225133949136591	0.0378713710606899	0.000225133949136591	0.0241325455970327	NA	"abundance"	16	14
"t__SGB41484"	"genotype"	"ASO"	"genotypeASO"	4.44625318014567	-0.334553933930976	0.807316901006678	0.000238936095020126	0.0378713710606899	0.000238936095020126	0.0241325455970327	NA	"abundance"	16	11
"t__SGB19472"	"genotype"	"ASO"	"genotypeASO"	1.46935947202598	-0.334553933930976	0.407253720405154	0.000788240420065978	0.0713920609031185	0.000788240420065978	0.0454927328152364	NA	"abundance"	16	16
"t__SGB40889"	"genotype"	"ASO"	"genotypeASO"	1.36976564121997	-0.334553933930976	0.377505725388103	0.000699424331675358	0.0713920609031185	0.000699424331675358	0.0454927328152364	NA	"abundance"	16	16
"t__SGB41662"	"genotype"	"ASO"	"genotypeASO"	1.17066697320456	-0.334553933930976	0.32566319482732	0.000645867430925984	0.0713920609031185	0.000645867430925984	0.0454927328152364	NA	"abundance"	16	16
"t__SGB41435"	"genotype"	"ASO"	"genotypeASO"	5.03863344087249	-0.334553933930976	1.33513913028072	0.00148316710769603	0.0991075767806214	0.0029641344307227	0.0921161776932286	NA	"abundance"	16	15
"t__SGB41475"	"genotype"	"ASO"	"genotypeASO"	0.428643499846355	-0.334553933930976	0.16172013510596	0.00171953208925368	0.0991075767806214	0.00171953208925368	0.0760164997920618	NA	"abundance"	16	16
"t__SGB41561"	"genotype"	"ASO"	"genotypeASO"	1.47806096596348	-0.334553933930976	0.45229285140299	0.00163844019702031	0.0991075767806214	0.00163844019702031	0.0760164997920618	NA	"abundance"	16	16
"t__SGB41656"	"genotype"	"ASO"	"genotypeASO"	1.46852258449642	-0.334553933930976	0.425328528789209	0.00147483255732084	0.0991075767806214	0.00294748998356954	0.0921161776932286	NA	"abundance"	16	14
"t__SGB41634"	"genotype"	"ASO"	"genotypeASO"	-3.44330727320533	-0.334553933930976	0.806679406327857	0.00188159652950648	0.099411016642259	0.00188159652950648	0.0760164997920618	NA	"abundance"	16	16
"t__SGB29427"	"genotype"	"ASO"	"genotypeASO"	-3.91248841873396	-0.334553933930976	0.955290128157664	0.00294686319721627	0.116867300724344	0.00588504239172942	0.148721653077888	NA	"abundance"	16	14
"t__SGB36974"	"genotype"	"ASO"	"genotypeASO"	1.91610779859981	-0.334553933930976	0.565781526576766	0.00294933251039353	0.116867300724344	0.0058899664585302	0.148721653077888	NA	"abundance"	16	12
"t__SGB43074"	"genotype"	"ASO"	"genotypeASO"	2.36517840990343	-0.334553933930976	0.724748171064466	0.00275342292363367	0.116867300724344	0.00549926450947096	0.148721653077888	NA	"abundance"	16	15
"t__SGB43552"	"genotype"	"ASO"	"genotypeASO"	0.993134061137939	-0.334553933930976	0.342130986894462	0.00248804017225113	0.116867300724344	0.00248804017225113	0.0913789299626778	NA	"abundance"	16	16
"t__SGB41604"	"genotype"	"ASO"	"genotypeASO"	4.90180506534689	-0.334553933930976	0.895845120383493	0.00439885178108135	0.164051295835622	0.00877835366517078	0.197025271151611	NA	"abundance"	16	6
"t__SGB102608"	"genotype"	"ASO"	"genotypeASO"	4.86852609115137	-0.334553933930976	1.17247902962252	0.00694232080371915	0.244523966086552	0.0138364457892965	0.232913504119825	NA	"abundance"	16	7
"t__SGB41679"	"genotype"	"ASO"	"genotypeASO"	0.800472445719216	-0.334553933930976	0.356127844941059	0.00876355697817321	0.292426059166412	0.00876355697817321	0.197025271151611	NA	"abundance"	16	16
"t__SGB40323"	"genotype"	"ASO"	"genotypeASO"	-1.98556661022377	-0.334553933930976	0.536311460579371	0.00928673096452926	0.292476873901865	0.00928673096452926	0.197465226824727	NA	"abundance"	16	16
"t__SGB41465"	"genotype"	"ASO"	"genotypeASO"	0.836214272536219	-0.334553933930976	0.386406862572855	0.0112593726868377	0.292476873901865	0.0112593726868377	0.202579647950133	NA	"abundance"	16	16
"t__SGB41647"	"genotype"	"ASO"	"genotypeASO"	0.522446417010343	-0.334553933930976	0.268359354960061	0.0104456462395417	0.292476873901865	0.0104456462395417	0.202579647950133	NA	"abundance"	16	16
"t__SGB43438"	"genotype"	"ASO"	"genotypeASO"	1.65769601408845	-0.334553933930976	0.676293535741286	0.0115329997595373	0.292476873901865	0.0115329997595373	0.202579647950133	NA	"abundance"	16	16
"t__SGB43523"	"genotype"	"ASO"	"genotypeASO"	1.54849166637373	-0.334553933930976	0.630907505905531	0.0108803797520083	0.292476873901865	0.0108803797520083	0.202579647950133	NA	"abundance"	16	16
"t__SGB65053"	"genotype"	"ASO"	"genotypeASO"	-3.51571583510368	0	1.36962054445316	0.0102604236424471	0.292476873901865	0.0204155709915717	0.284410023468793	NA	"prevalence"	16	8
