Kingdom	Phylum	Class	Order	Family	Genus	Species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28898	s__GGB28898_SGB41580	t__SGB41580	genotype	ASO	genotypeASO	1.946491677269733	-0.33455393393097566	0.35710651218870193	5.512317114186871e-5	0.01747404525197238	1.1024330371974064e-4	0.02226914735138761	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__GGB28778	s__GGB28778_SGB41431	t__SGB41431	genotype	ASO	genotypeASO	2.8994950937477992	-0.33455393393097566	0.5226186173382105	4.073345969635156e-5	0.01747404525197238	8.146526017796422e-5	0.02226914735138761	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__CFGB77305	o__OFGB77305	f__FGB77305	g__GGB28828	s__GGB28828_SGB41484	t__SGB41484	genotype	ASO	genotypeASO	4.446253180145675	-0.33455393393097566	0.8073169010066776	2.389360950201258e-4	0.03787137106068994	2.389360950201258e-4	0.024132545597032706	NA	linear	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Pumilibacteraceae	g__Pumilibacter	s__Pumilibacter_sp_CLA_AA_M10	t__SGB41020	genotype	ASO	genotypeASO	-2.9638842440474207	-0.33455393393097566	0.49355585680495845	2.2513394913659113e-4	0.03787137106068994	2.2513394913659113e-4	0.024132545597032706	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28954	s__GGB28954_SGB41662	t__SGB41662	genotype	ASO	genotypeASO	1.1706669732045596	-0.33455393393097566	0.32566319482731987	6.458674309259838e-4	0.07139206090311855	6.458674309259838e-4	0.04549273281523642	NA	linear	16	16
k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Mucispirillaceae	g__Mucispirillum	s__Mucispirillum_schaedleri	t__SGB19472	genotype	ASO	genotypeASO	1.4693594720259828	-0.33455393393097566	0.4072537204051535	7.882404200659776e-4	0.07139206090311855	7.882404200659776e-4	0.04549273281523642	NA	linear	16	16
k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__GGB28317	s__GGB28317_SGB40889	t__SGB40889	genotype	ASO	genotypeASO	1.369765641219969	-0.33455393393097566	0.3775057253881031	6.994243316753579e-4	0.07139206090311855	6.994243316753579e-4	0.04549273281523642	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28881	s__GGB28881_SGB41561	t__SGB41561	genotype	ASO	genotypeASO	1.478060965963477	-0.33455393393097566	0.4522928514029905	0.0016384401970203077	0.09910757678062139	0.0016384401970203077	0.07601649979206178	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28949	s__GGB28949_SGB41656	t__SGB41656	genotype	ASO	genotypeASO	1.4685225844964171	-0.33455393393097566	0.42532852878920885	0.0014748325573208376	0.09910757678062139	0.002947489983569543	0.09211617769322857	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41475	genotype	ASO	genotypeASO	0.42864349984635497	-0.33455393393097566	0.16172013510596003	0.0017195320892536836	0.09910757678062139	0.0017195320892536836	0.07601649979206178	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	ASO	genotypeASO	5.038633440872492	-0.33455393393097566	1.3351391302807158	0.0014831671076960262	0.09910757678062139	0.002964134430722701	0.09211617769322857	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28933	s__GGB28933_SGB41634	t__SGB41634	genotype	ASO	genotypeASO	-3.4433072732053303	-0.33455393393097566	0.8066794063278571	0.0018815965295064796	0.09941101664225901	0.0018815965295064796	0.07601649979206178	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__CFGB77306	o__OFGB77306	f__FGB77306	g__GGB25052	s__GGB25052_SGB36974	t__SGB36974	genotype	ASO	genotypeASO	1.9161077985998072	-0.33455393393097566	0.5657815265767657	0.002949332510393532	0.1168673007243437	0.005889966458530198	0.1487216530778875	NA	linear	16	12
k__Bacteria	p__Firmicutes	c__CFGB77306	o__OFGB77306	f__FGB77306	g__GGB20146	s__GGB20146_SGB29427	t__SGB29427	genotype	ASO	genotypeASO	-3.91248841873396	-0.33455393393097566	0.9552901281576643	0.002946863197216265	0.1168673007243437	0.0058850423917294215	0.1487216530778875	NA	linear	16	14
