"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB41431"	"genotype"	"ASO"	"genotypeASO"	2.8994950937478	-0.334553933930976	0.52261861733821	4.07334596963516e-05	0.0174740452519724	8.14652601779642e-05	0.0222691473513876	NA	"abundance"	16	15
"t__SGB41580"	"genotype"	"ASO"	"genotypeASO"	1.94649167726973	-0.334553933930976	0.357106512188702	5.51231711418687e-05	0.0174740452519724	0.000110243303719741	0.0222691473513876	NA	"abundance"	16	14
"t__SGB41020"	"genotype"	"ASO"	"genotypeASO"	-2.96388424404742	-0.334553933930976	0.493555856804958	0.000225133949136591	0.0378713710606899	0.000225133949136591	0.0241325455970327	NA	"abundance"	16	14
"t__SGB41484"	"genotype"	"ASO"	"genotypeASO"	4.44625318014567	-0.334553933930976	0.807316901006678	0.000238936095020126	0.0378713710606899	0.000238936095020126	0.0241325455970327	NA	"abundance"	16	11
"t__SGB19472"	"genotype"	"ASO"	"genotypeASO"	1.46935947202598	-0.334553933930976	0.407253720405154	0.000788240420065978	0.0713920609031185	0.000788240420065978	0.0454927328152364	NA	"abundance"	16	16
"t__SGB40889"	"genotype"	"ASO"	"genotypeASO"	1.36976564121997	-0.334553933930976	0.377505725388103	0.000699424331675358	0.0713920609031185	0.000699424331675358	0.0454927328152364	NA	"abundance"	16	16
"t__SGB41662"	"genotype"	"ASO"	"genotypeASO"	1.17066697320456	-0.334553933930976	0.32566319482732	0.000645867430925984	0.0713920609031185	0.000645867430925984	0.0454927328152364	NA	"abundance"	16	16
"t__SGB41435"	"genotype"	"ASO"	"genotypeASO"	5.03863344087249	-0.334553933930976	1.33513913028072	0.00148316710769603	0.0991075767806214	0.0029641344307227	0.0921161776932286	NA	"abundance"	16	15
"t__SGB41475"	"genotype"	"ASO"	"genotypeASO"	0.428643499846355	-0.334553933930976	0.16172013510596	0.00171953208925368	0.0991075767806214	0.00171953208925368	0.0760164997920618	NA	"abundance"	16	16
"t__SGB41561"	"genotype"	"ASO"	"genotypeASO"	1.47806096596348	-0.334553933930976	0.45229285140299	0.00163844019702031	0.0991075767806214	0.00163844019702031	0.0760164997920618	NA	"abundance"	16	16
"t__SGB41656"	"genotype"	"ASO"	"genotypeASO"	1.46852258449642	-0.334553933930976	0.425328528789209	0.00147483255732084	0.0991075767806214	0.00294748998356954	0.0921161776932286	NA	"abundance"	16	14
"t__SGB41634"	"genotype"	"ASO"	"genotypeASO"	-3.44330727320533	-0.334553933930976	0.806679406327857	0.00188159652950648	0.099411016642259	0.00188159652950648	0.0760164997920618	NA	"abundance"	16	16
"t__SGB43552"	"genotype"	"ASO"	"genotypeASO"	0.993134061137939	-0.334553933930976	0.342130986894462	0.00248804017225113	0.116867300724344	0.00248804017225113	0.0913789299626778	NA	"abundance"	16	16
"t__SGB41580"	"genotype"	"ASO"	"genotypeASO"	-2.47485631390796	0	2.17385083222958	0.254925746273597	0.654343818370287	0.000110243303719741	0.0222691473513876	NA	"prevalence"	16	14
"t__SGB41656"	"genotype"	"ASO"	"genotypeASO"	2.47485631390797	0	2.17385083222958	0.254925746273596	0.654343818370287	0.00294748998356954	0.0921161776932286	NA	"prevalence"	16	14
"t__SGB41431"	"genotype"	"ASO"	"genotypeASO"	-1.73864964388757	0	2.2492474365493	0.439527281119534	0.753135935756176	8.14652601779642e-05	0.0222691473513876	NA	"prevalence"	16	15
"t__SGB41435"	"genotype"	"ASO"	"genotypeASO"	1.73864964388757	0	2.24924743654929	0.439527281119533	0.753135935756176	0.0029641344307227	0.0921161776932286	NA	"prevalence"	16	15
"t__SGB41020"	"genotype"	"ASO"	"genotypeASO"	-2.47485631390796	0	2.17385083222958	0.254925746273596	0.654343818370287	0.000225133949136591	0.0241325455970327	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	16	14
"t__SGB41484"	"genotype"	"ASO"	"genotypeASO"	0.542078167269533	0	1.05005356617489	0.605687784332582	0.822652100160643	0.000238936095020126	0.0241325455970327	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	16	11
"t__SGB19472"	"genotype"	"ASO"	"genotypeASO"	NA	0	NA	NA	NA	0.000788240420065978	0.0454927328152364	"All logistic values are the same"	"prevalence"	16	16
"t__SGB40889"	"genotype"	"ASO"	"genotypeASO"	NA	0	NA	NA	NA	0.000699424331675358	0.0454927328152364	"All logistic values are the same"	"prevalence"	16	16
"t__SGB41475"	"genotype"	"ASO"	"genotypeASO"	NA	0	NA	NA	NA	0.00171953208925368	0.0760164997920618	"All logistic values are the same"	"prevalence"	16	16
"t__SGB41561"	"genotype"	"ASO"	"genotypeASO"	NA	0	NA	NA	NA	0.00163844019702031	0.0760164997920618	"All logistic values are the same"	"prevalence"	16	16
"t__SGB41634"	"genotype"	"ASO"	"genotypeASO"	NA	0	NA	NA	NA	0.00188159652950648	0.0760164997920618	"All logistic values are the same"	"prevalence"	16	16
"t__SGB41662"	"genotype"	"ASO"	"genotypeASO"	NA	0	NA	NA	NA	0.000645867430925984	0.0454927328152364	"All logistic values are the same"	"prevalence"	16	16
"t__SGB43552"	"genotype"	"ASO"	"genotypeASO"	NA	0	NA	NA	NA	0.00248804017225113	0.0913789299626778	"All logistic values are the same"	"prevalence"	16	16
