kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28898	s__GGB28898_SGB41580	t__SGB41580	treatment	F. prausnitzii	treatmentF. prausnitzii	-3.161233376843832	0.2959982942359748	0.5725981281021557	1.4508913904620613e-4	0.09111597932101745	2.90157227234143e-4	0.11635304812089134	NA	linear	16	12
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30303	s__GGB30303_SGB43268	t__SGB43268	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.8199580236140346	0.2959982942359748	0.22833689976626267	6.314025853724203e-4	0.19826041180693998	6.314025853724203e-4	0.12659621836717028	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28951	s__GGB28951_SGB102295	t__SGB102295	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.407980990984635	0.2959982942359748	0.4436430196803773	0.0029268716374455384	0.22975942353947476	0.005845176697308993	0.21308325960190055	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__CFGB9622	o__OFGB9622	f__FGB9622	g__GGB28810	s__GGB28810_SGB41465	t__SGB41465	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.0274051604772532	0.2959982942359748	0.3339796460806188	0.0027345020164730727	0.22975942353947476	0.00546152653166805	0.21308325960190055	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__GGB28778	s__GGB28778_SGB41431	t__SGB41431	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.9888011651364679	0.2959982942359748	0.6139557296420817	0.00289577380479511	0.22975942353947476	0.005783162103661683	0.21308325960190055	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Pumilibacteraceae	g__Pumilibacter	s__Pumilibacter_sp_CLA_AA_M10	t__SGB41020	treatment	F. prausnitzii	treatmentF. prausnitzii	2.256500158287046	0.2959982942359748	0.48082212951287995	0.0018951622364371534	0.22975942353947476	0.003786732832971888	0.21308325960190055	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30464	s__GGB30464_SGB43538	t__SGB43538	treatment	F. prausnitzii	treatmentF. prausnitzii	2.943610336648105	0.2959982942359748	0.490630314183359	0.0011860325237340597	0.22975942353947476	0.002370658374320764	0.21308325960190055	NA	linear	16	9
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1XD42_1	t__SGB29420	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.0953945204281623	0.2959982942359748	0.36825283125979247	0.002873011304618256	0.22975942353947476	0.002873011304618256	0.21308325960190055	NA	linear	16	16
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.9388848252686206	0.2959982942359748	0.6480695942147386	0.004349759070567671	0.27316486963164976	0.004349759070567671	0.21308325960190055	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30463	s__GGB30463_SGB43537	t__SGB43537	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.6452172439638233	0.2959982942359748	0.5456858997106144	0.004035072461883837	0.27316486963164976	0.008053863113995023	0.2484307006701542	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB74395	s__GGB74395_SGB43523	t__SGB43523	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.7901120071639467	0.2959982942359748	0.6234646126378666	0.005334457270441462	0.2791699304864365	0.005334457270441462	0.21308325960190055	NA	linear	16	16
