"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB41580"	"treatment"	"Fp"	"treatmentFp"	-3.16332572987531	0.292118705312011	0.573023786830188	0.000146763005884787	0.0923139307015309	0.000293504472389677	0.11828230237304	NA	"abundance"	16	12
"t__SGB43268"	"treatment"	"Fp"	"treatmentFp"	-0.820005781096882	0.292118705312011	0.228201522042741	0.000656962201952993	0.206614612514216	0.000656962201952993	0.132377883693528	NA	"abundance"	16	16
"t__SGB102295"	"treatment"	"Fp"	"treatmentFp"	-1.40891976733266	0.292118705312011	0.444557784831071	0.00301285773803184	0.236885939652753	0.00601663816431406	0.220427743656233	NA	"abundance"	16	14
"t__SGB29420"	"treatment"	"Fp"	"treatmentFp"	-1.0953184440597	0.292118705312011	0.36821777711047	0.00295361518429438	0.236885939652753	0.00295361518429438	0.220427743656233	NA	"abundance"	16	16
"t__SGB41020"	"treatment"	"Fp"	"treatmentFp"	2.25905216360723	0.292118705312011	0.481304839005254	0.00185986541016925	0.236885939652753	0.00371627172099455	0.220427743656233	NA	"abundance"	16	14
"t__SGB41431"	"treatment"	"Fp"	"treatmentFp"	-1.98882085303918	0.292118705312011	0.613921128112863	0.0029353208496975	0.236885939652753	0.00586202559090433	0.220427743656233	NA	"abundance"	16	15
"t__SGB41465"	"treatment"	"Fp"	"treatmentFp"	-1.02752964292103	0.292118705312011	0.333912928918004	0.00280367885131727	0.236885939652753	0.00559949708753322	0.220427743656233	NA	"abundance"	16	14
"t__SGB43538"	"treatment"	"Fp"	"treatmentFp"	2.94259918332784	0.292118705312011	0.489878272700323	0.00117445433630647	0.236885939652753	0.00234752932962488	0.220427743656233	NA	"abundance"	16	9
"t__SGB41595"	"treatment"	"Fp"	"treatmentFp"	-1.93897539823429	0.292118705312011	0.648153266166125	0.00440827960101997	0.277280786904156	0.00440827960101997	0.220427743656233	NA	"abundance"	16	16
"t__SGB43537"	"treatment"	"Fp"	"treatmentFp"	-1.64483574672766	0.292118705312011	0.545430131607204	0.00408830119693793	0.277280786904156	0.00815988818719897	0.252956533803168	NA	"abundance"	16	15
"t__SGB43003"	"treatment"	"Fp"	"treatmentFp"	-3.20010714644366	0.292118705312011	1.05769344642836	0.00545039209006193	0.285691385387413	0.00545039209006193	0.220427743656233	NA	"abundance"	16	16
"t__SGB43523"	"treatment"	"Fp"	"treatmentFp"	-1.789832590192	0.292118705312011	0.623311545652192	0.0054074187890345	0.285691385387413	0.0054074187890345	0.220427743656233	NA	"abundance"	16	16
"t__SGB43453"	"treatment"	"Fp"	"treatmentFp"	-0.629710930884707	0.292118705312011	0.273352908466241	0.00781774714487504	0.351240211009029	0.00781774714487504	0.252956533803168	NA	"abundance"	16	16
"t__SGB7271"	"treatment"	"Fp"	"treatmentFp"	2.81059464002876	0.292118705312011	0.185509610735329	0.00745707101935533	0.351240211009029	0.014858534130523	0.374249328412547	NA	"abundance"	16	4
"t__SGB41484"	"treatment"	"Fp"	"treatmentFp"	-4.81926340381483	0.292118705312011	1.57928808667766	0.0103567613719808	0.361911272387552	0.0206062602378455	0.39544394646913	NA	"abundance"	16	11
"t__SGB41545"	"treatment"	"Fp"	"treatmentFp"	-1.85610122849579	0.292118705312011	0.712384296336277	0.00991340164362142	0.361911272387552	0.00991340164362142	0.285364347312817	NA	"abundance"	16	16
"t__SGB59498"	"treatment"	"Fp"	"treatmentFp"	2.6949035628172	0.292118705312011	0.711326197992168	0.00878328234149484	0.361911272387552	0.0174894186342993	0.391568650534589	NA	"abundance"	16	11
"t__SGB65053"	"treatment"	"Fp"	"treatmentFp"	3.51571583510368	0	1.36962054445316	0.0102604236424471	0.361911272387552	0.0204155709915717	0.39544394646913	NA	"prevalence"	16	8
"t__SGB41001"	"treatment"	"Fp"	"treatmentFp"	2.55370018982114	0.292118705312011	0.749679026430727	0.0113962057131785	0.377274389136276	0.0226625379216998	0.415136490111138	NA	"abundance"	16	14
"t__SGB41665"	"treatment"	"Fp"	"treatmentFp"	-1.29376464725085	0.292118705312011	0.551424126993433	0.013642408228394	0.429053738782992	0.013642408228394	0.366526034402853	NA	"abundance"	16	16
"t__SGB27814"	"treatment"	"Fp"	"treatmentFp"	2.92012032391455	0.292118705312011	0.951737360293504	0.0159397820586409	0.477434424518339	0.0159397820586409	0.377866598213663	NA	"abundance"	16	16
"t__SGB40964"	"treatment"	"Fp"	"treatmentFp"	3.07350872389766	0.292118705312011	0.566909773799103	0.0171308257434415	0.489785881482941	0.0339681862962308	0.497486973454094	NA	"abundance"	16	5
"t__SGB41498"	"treatment"	"Fp"	"treatmentFp"	-0.923396694003118	0.292118705312011	0.118496293759451	0.0180627875188941	0.493977971712365	0.0357993107448355	0.497486973454094	NA	"abundance"	16	4
"t__SGB40979"	"treatment"	"Fp"	"treatmentFp"	2.39964514901352	0.292118705312011	0.793029029047119	0.0197379639386346	0.517299138225048	0.0197379639386346	0.39544394646913	NA	"abundance"	16	16
"t__SGB102199"	"treatment"	"Fp"	"treatmentFp"	2.68898853846102	0.292118705312011	1.18767441416162	0.0756142286963639	0.530128853756373	0.145510945811382	0.54054001134537	NA	"abundance"	16	11
"t__SGB102412"	"treatment"	"Fp"	"treatmentFp"	-2.51795448563386	0.292118705312011	0.556281527574984	0.0384755072503953	0.530128853756373	0.0754706498426153	0.506911198109566	NA	"abundance"	16	4
"t__SGB109668"	"treatment"	"Fp"	"treatmentFp"	1.85330974614301	0.292118705312011	0.648089960443232	0.0324081903425248	0.530128853756373	0.0324081903425248	0.497486973454094	NA	"abundance"	16	16
"t__SGB1863"	"treatment"	"Fp"	"treatmentFp"	2.95537943044126	0.292118705312011	1.10311463682817	0.0308407920784638	0.530128853756373	0.0308407920784638	0.497153568304836	NA	"abundance"	16	16
