PCo	Effect	Estimate	CI_Lower_95	CI_Upper_95	P_Value
PCo.1	ACME	-9.109348588914694	-22.4436997262481	5.393046764339832	0.194
PCo.1	ADE	-0.42252996081174904	-9.487115307123474	7.904580571102405	0.938
PCo.1	Total Effect	-9.531878549726441	-26.40120333074823	6.730339895724096	0.268
PCo.1	Prop. Mediated	0.03899622766258805	-1.647601510914869	2.674683493019113	0.802
PCo.2	ACME	-10.980319331448914	-27.872856272516135	4.85837385960854	0.156
PCo.2	ADE	1.389364023534013	-11.051135115305401	14.0990355782008	0.764
PCo.2	Total Effect	-9.590955307914902	-24.59395284109842	4.871999700770601	0.186
PCo.2	Prop. Mediated	-0.05298727772325778	-3.8737277250340476	4.556613563547029	0.862
PCo.3	ACME	-8.807300154452923	-21.1856649011548	2.3794463462923336	0.148
PCo.3	ADE	-0.7010747503888439	-7.767820920652335	5.655206000686412	0.822
PCo.3	Total Effect	-9.508374904841766	-22.954312005372078	3.2117613721351166	0.152
PCo.3	Prop. Mediated	0.07490445064576931	-2.0031111276542495	1.4192559685553137	0.762
