PCo	Effect	Estimate	CI_Lower_95	CI_Upper_95	P_Value
PCo.1	ACME	-0.6245089876860127	-3.9921373294568276	3.0076856267480543	0.734
PCo.1	ADE	0.5218492333399772	-1.4083287971498173	2.9516157082969396	0.606
PCo.1	Total Effect	-0.1026597543460355	-4.284097527167617	3.7757224697434992	0.982
PCo.1	Prop. Mediated	0.15159383629289686	-5.565668944878658	6.018457323136059	0.76
PCo.2	ACME	0.2704709253021883	-3.415342498771575	4.281328371219021	0.892
PCo.2	ADE	-0.5003964660501	-3.939256344034199	2.2560316064491475	0.71
PCo.2	Total Effect	-0.22992554074791197	-4.426385189173697	3.8342513041842796	0.92
PCo.2	Prop. Mediated	0.14131778042606907	-4.663686656670707	7.61241982839871	0.798
PCo.3	ACME	-0.6022421253130532	-5.0128798758112945	3.588962808912867	0.738
PCo.3	ADE	0.2973971336750725	-1.4120906632349233	2.339630718989914	0.758
PCo.3	Total Effect	-0.3048449916379808	-4.435783655626176	3.8745274910112686	0.876
PCo.3	Prop. Mediated	0.0016952252086609807	-4.227511980075192	7.910145748832874	0.994
