term	AlphaIndex	estimate	std.error	statistic	p.value
(Intercept)	dbp_dominance	0.1804118784609419	0.054377884353921366	3.317743612214141	0.0034336042165045814
(Intercept)	observed_richness	202.1560613273117	42.488410407115396	4.757910672352602	1.2016056653834967e-4
(Intercept)	shannon_diversity	3.71926726786101	0.30095950821578465	12.35803211505229	8.072722654753914e-11
(Intercept)	gini	0.9230902891509026	0.031049740959317413	29.72940387362238	5.0096633611924416e-18
genotypeASO	dbp_dominance	-0.023727945992354442	0.0220724750299673	-1.075001600868935	0.2951724196685406
genotypeASO	observed_richness	-8.458402274941022	17.246430031558	-0.49044366048298704	0.629157471287455
genotypeASO	shannon_diversity	-0.24646986786473465	0.12216218613597281	-2.0175626817156087	0.05725629629525285
genotypeASO	gini	0.027235887300350276	0.012603370656182288	2.161000262813849	0.04300264859463709
number_reads	dbp_dominance	6.139519462026946e-10	5.85944942690041e-10	1.0477980121887818	0.3072298142883756
number_reads	observed_richness	7.452838630604624e-7	4.5783077986175553e-7	1.6278587981470027	0.11920670129701007
number_reads	shannon_diversity	2.530233823193587e-9	3.2429673182164547e-9	0.7802218076576695	0.4443967910323987
number_reads	gini	-5.052114058709967e-10	3.3457422816479754e-10	-1.510012915944471	0.1466781041266493
treatmentbenCom	dbp_dominance	0.006246184977098133	0.019293109647816185	0.32375211104474017	0.7494868153929408
treatmentbenCom	observed_richness	-0.730646652240897	15.074760088322156	-0.04846821096721143	0.9618238506893935
treatmentbenCom	shannon_diversity	0.16382845776701022	0.10677952738595738	1.5342684293296036	0.1406317322044961
treatmentbenCom	gini	-0.013586436639052098	0.011016354607793802	-1.2332969591810368	0.23176407814738562
