kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1xD42_87	t__SGB29426	genotype	Thy1-ASO	genotypeThy1-ASO	2.4817531194877316	-0.31620717382497554	0.5820990439342865	3.760945780184599e-5	0.03863920800390552	7.52175011323758e-5	0.0437264406582878	NA	linear	48	38
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor_SGB94872	t__SGB94872	treatment	benCom	treatmentbenCom	8.130768142046119	0.2205238020029287	0.7990037026118253	2.425706088038382e-5	0.03863920800390552	2.425706088038382e-5	0.035844031254686826	NA	linear	48	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28851	s__GGB28851_SGB41518	t__SGB41518	cohort	Fp7	cohortFp7	2.4320524434662	-0.10808160704519129	0.546151664745639	4.1105540429686727e-05	0.03863920800390552	4.1105540429686727e-05	0.035844031254686826	NA	linear	48	46
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Anaerotruncus	s__Anaerotruncus_sp_1XD42_93	t__SGB43003	treatment	Fp	treatmentFp	-3.010932448525184	0.31267469423665295	0.7695703756519737	1.0431327655835432e-4	0.0735408599736398	1.0431327655835432e-4	0.04548058857944248	NA	linear	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	Thy1-ASO	genotypeThy1-ASO	3.700839174652457	-0.31620717382497554	0.9531735458289493	1.9006884600869522e-4	0.1071988291489041	3.8010156585116766e-4	0.11048285514073941	NA	linear	48	38
k__Bacteria	p__Firmicutes	c__CFGB9508	o__OFGB9508	f__FGB9508	g__GGB28384	s__GGB28384_SGB40964	t__SGB40964	treatment	benCom	treatmentbenCom	4.844506974649611	0.2205238020029287	0.8235633224492964	2.3784964838369227e-4	0.11178933474033537	2.3784964838369227e-4	0.08296195735623187	NA	linear	48	15
k__Bacteria	p__Candidatus_Saccharibacteria	c__CFGB9318	o__OFGB9318	f__FGB9318	g__GGB73364	s__GGB73364_SGB102608	t__SGB102608	genotype	Thy1-ASO	genotypeThy1-ASO	4.868526091151377	-0.31620717382497554	0.9286600496249574	3.5132164237383634e-4	0.14153243307060262	7.025198578512727e-4	0.15817996893658617	NA	linear	48	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41569	cohort	Fp7	cohortFp7	1.3248983329908255	-0.10808160704519129	0.38184585681897387	7.111082057904561e-4	0.15746157733618615	0.00142171073670057	0.16781861553001945	NA	linear	48	46
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28956	s__GGB28956_SGB41665	t__SGB41665	treatment	Fp	treatmentFp	-1.2966437912660664	0.31267469423665295	0.4280540016295077	7.258867040320638e-4	0.15746157733618615	7.258867040320638e-4	0.15817996893658617	NA	linear	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28957	s__GGB28957_SGB41666	t__SGB41666	treatment	benCom	treatmentbenCom	-3.2000609836971203	0.2205238020029287	0.9082629462695033	5.897207878771127e-4	0.15746157733618615	0.0011790938051465711	0.15817996893658617	NA	linear	48	44
