kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28959	s__GGB28959_SGB41668	t__SGB41668	cohort	Fp7	cohortFp7	2.70327692234909	0	0.8581459966951794	0.0016319426351797893	0.20041060984917689	0.003261222033595062	0.2278666778981954	NA	logistic	48	24
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28924	s__GGB28924_SGB41621	t__SGB41621	cohort	Fp7	cohortFp7	-2.3273869128112845	0	0.8040205651651201	0.0037953822113557015	0.3503666853234845	0.007576359496581126	0.372453625405854	NA	logistic	48	28
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Pumilibacteraceae	g__GGB28430	s__GGB28430_SGB41013	t__SGB41013	genotype	Thy1-ASO	genotypeThy1-ASO	-2.4410834826016803	0	0.8446448237215045	0.0038515486684496517	0.3503666853234845	0.007688262909753868	0.372453625405854	NA	logistic	48	30
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28991	s__GGB28991_SGB41705	t__SGB41705	treatment	benCom	treatmentbenCom	2.789999767182778	0	1.081942573991197	0.009917434442726143	0.49941366300871065	0.01973651337952652	0.5428496836523125	NA	logistic	48	23
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30454	s__GGB30454_SGB43516	t__SGB43516	treatment	F. prausnitzii	treatmentF. prausnitzii	-2.789999767182783	0	1.0819425739911994	0.00991743444272617	0.49941366300871065	0.01973651337952657	0.5428496836523125	NA	logistic	48	24
k__Bacteria	p__Firmicutes	c__CFGB9836	o__OFGB9836	f__FGB9836	g__GGB29546	s__GGB29546_SGB42338	t__SGB42338	cohort	Fp7	cohortFp7	-3.4722655694439464	0	1.3445377248226802	0.00980880186360583	0.49941366300871065	0.00980880186360583	0.39782675465415274	NA	logistic	48	14
k__Bacteria	p__Firmicutes	c__CFGB78137	o__OFGB78137	f__FGB78137	g__GGB29549	s__GGB29549_SGB42342	t__SGB42342	cohort	Fp7	cohortFp7	3.472265569443945	0	1.3445377248226735	0.009808801863605486	0.49941366300871065	0.009808801863605486	0.39782675465415274	NA	logistic	48	13
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Granulimonas	s__Granulimonas_faecalis	t__SGB33580	genotype	Thy1-ASO	genotypeThy1-ASO	-1.946066830817394	0	0.8259236786906243	0.01846144203371353	0.5685994587222121	0.036582059225462905	0.5839519840304039	NA	logistic	48	25
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28836	s__GGB28836_SGB41496	t__SGB41496	cohort	Fp7	cohortFp7	3.2946160148425134	0	1.3554560035894017	0.015072475429656522	0.5685994587222121	0.015072475429656522	0.5148709433583024	NA	logistic	48	10
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41596	t__SGB41596	cohort	Fp7	cohortFp7	1.9460668308173992	0	0.8259236786906262	0.01846144203371348	0.5685994587222121	0.0365820592254628	0.5839519840304039	NA	logistic	48	19
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28926	s__GGB28926_SGB41624	t__SGB41624	cohort	Fp7	cohortFp7	-2.2526114595742524	0	0.9493665426495561	0.0176561095156378	0.5685994587222121	0.0350004808280474	0.5839519840304039	NA	logistic	48	35
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41402	cohort	Fp7	cohortFp7	2.0261757428003073	0	0.8520399952466623	0.017405461149063665	0.5685994587222121	0.03450797222031578	0.5839519840304039	NA	logistic	48	31
k__Bacteria	p__Firmicutes	c__CFGB1765	o__OFGB1765	f__FGB1765	g__GGB31822	s__GGB31822_SGB45198	t__SGB45198	cohort	Fp7	cohortFp7	2.352315630278071	0	0.9786892180248072	0.016237329062331784	0.5685994587222121	0.016237329062331784	0.5148709433583024	NA	logistic	48	9
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB42330	s__GGB42330_SGB59498	t__SGB59498	cohort	Fp7	cohortFp7	2.02617574280031	0	0.852039995246664	0.017405461149063748	0.5685994587222121	0.0018553042667473615	0.19033239065925875	NA	logistic	48	19
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB74395	s__GGB74395_SGB43521	t__SGB43521	cohort	Fp7	cohortFp7	1.7939833663509221	0	0.770682394032288	0.019923491964146545	0.5759918910358176	0.03945003839624769	0.5839519840304039	NA	logistic	48	29
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichales_unclassified	g__Erysipelotrichales_unclassified	s__Erysipelotrichales_bacterium	t__SGB44464	treatment	F. prausnitzii	treatmentF. prausnitzii	4.267854946781502	0	1.8470754978731754	0.02085489036967026	0.5765763808085308	0.02085489036967026	0.5428496836523125	NA	logistic	48	7
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__Bacteria_unclassified_SGB41677	t__SGB41677	genotype	Thy1-ASO	genotypeThy1-ASO	1.7284444133243886	0	0.7479263060925686	0.02083383566414475	0.5765763808085308	0.04123362261980892	0.5969388236014306	NA	logistic	48	23
k__Bacteria	p__Firmicutes	c__CFGB77305	o__OFGB77305	f__FGB77305	g__GGB28828	s__GGB28828_SGB41484	t__SGB41484	treatment	benCom	treatmentbenCom	4.275739178884491	0	1.8889411400255498	0.023600943600162586	0.5794152743176747	0.046644882661507125	0.6083394690352956	NA	logistic	48	31
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB42601	s__GGB42601_SGB59797	t__SGB59797	treatment	F. prausnitzii	treatmentF. prausnitzii	-3.4683670617117244	0	1.535537620545652	0.02390009710513036	0.5794152743176747	0.04722897956862606	0.6083394690352956	NA	logistic	48	39
k__Bacteria	p__Firmicutes	c__CFGB8118	o__OFGB8118	f__FGB8118	g__GGB29005	s__GGB29005_SGB41723	t__SGB41723	treatment	F. prausnitzii	treatmentF. prausnitzii	-2.3142056240167213	0	1.0353254006747326	0.025401287765229055	0.5794152743176747	0.05015735011032614	0.6148701369015005	NA	logistic	48	28
k__Bacteria	p__Firmicutes	c__CFGB28439	o__OFGB28439	f__FGB28439	g__GGB42327	s__GGB42327_SGB59494	t__SGB59494	cohort	Fp7	cohortFp7	-3.0038276262063115	0	1.3431776788113214	0.025328257940194294	0.5794152743176747	0.025328257940194294	0.5735011786036315	NA	logistic	48	9
k__Bacteria	p__Firmicutes	c__CFGB40333	o__OFGB40333	f__FGB40333	g__GGB42696	s__GGB42696_SGB59900	t__SGB59900	cohort	Fp7	cohortFp7	-3.0038276262063115	0	1.3431776788113214	0.025328257940194294	0.5794152743176747	0.025328257940194294	0.5735011786036315	NA	logistic	48	9
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriales_unclassified	g__Eubacteriales_unclassified	s__Clostridiales_bacterium	t__SGB59899	cohort	Fp7	cohortFp7	3.003827626206302	0	1.3431776788113194	0.025328257940194523	0.5794152743176747	0.05001499523010401	0.6148701369015005	NA	logistic	48	39
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichales_unclassified	g__GGB31171	s__GGB31171_SGB44462	t__SGB44462	treatment	benCom	treatmentbenCom	-2.336455183160745	0	1.0587854516734165	0.027332824814012235	0.5863675486152249	0.053918566315711	0.6148701369015005	NA	logistic	48	30
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28945	s__GGB28945_SGB41650	t__SGB41650	treatment	benCom	treatmentbenCom	-3.1677767389620373	0	1.4649262149333704	0.030586290828390615	0.5863675486152249	0.06023706047014235	0.6148701369015005	NA	logistic	48	41
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28990	s__GGB28990_SGB41704	t__SGB41704	treatment	benCom	treatmentbenCom	-2.2614745663177134	0	1.0351975095184638	0.02891945781785607	0.5863675486152249	0.0570025805952334	0.6148701369015005	NA	logistic	48	26
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Sporofaciens	s__Sporofaciens_musculi	t__SGB41410	treatment	benCom	treatmentbenCom	-2.4587801635033486	0	1.1338211070960156	0.030114693038343042	0.5863675486152249	0.059322491339892466	0.6148701369015005	NA	logistic	48	17
