kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__GGB9439	s__GGB9439_SGB42949	t__SGB42949	genotype	Thy1-ASO	genotypeThy1-ASO	-1.3459496088406104	-0.39204993732983545	0.6613079359325408	0.17886031162086313	0.7954751035553094	0.32572961216861407	0.8442379743962038	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_johnsonii	t__SGB7041	genotype	Thy1-ASO	genotypeThy1-ASO	-2.837533211999421	-0.39204993732983545	1.6621258161384924	0.16764754874883492	0.7954751035553094	0.30718939689617686	0.8391545502043397	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_intestinalis	t__SGB7055	genotype	Thy1-ASO	genotypeThy1-ASO	-6.401654931893901	-0.39204993732983545	2.757914816253874	0.11754334510908526	0.7954751035553094	0.2212702522387372	0.8189185383512468	NA	linear	16	5
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__GGB31184	s__GGB31184_SGB44478	t__SGB44478	genotype	Thy1-ASO	genotypeThy1-ASO	2.0130003729823707	-0.39204993732983545	1.6036143327512316	0.17805548777470936	0.7954751035553094	0.2822747426974067	0.8391545502043397	NA	linear	16	9
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichales_unclassified	g__GGB31171	s__GGB31171_SGB44462	t__SGB44462	genotype	Thy1-ASO	genotypeThy1-ASO	-2.91014605380919	-0.39204993732983545	0.8505394060998926	0.014972167454628149	0.7954751035553094	0.02972016911096688	0.8189185383512468	NA	linear	16	12
k__Bacteria	p__Firmicutes	c__CFGB1227	o__OFGB1227	f__FGB1227	g__GGB75036	s__GGB75036_SGB102224	t__SGB102224	genotype	Thy1-ASO	genotypeThy1-ASO	-1.3335629394420316	-0.39204993732983545	0.7428553491423329	0.23265841035329138	0.7954751035553094	0.4111868847984623	0.8560268676836894	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__Clostridia_unclassified	s__Clostridia_bacterium	t__SGB45231	genotype	Thy1-ASO	genotypeThy1-ASO	0.7392519069417446	-0.39204993732983545	0.8418743501383433	0.2036927851824395	0.7954751035553094	0.2036927851824395	0.8189185383512468	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__GGB81440	s__GGB81440_SGB45230	t__SGB45230	genotype	Thy1-ASO	genotypeThy1-ASO	-4.016045284635169	-0.39204993732983545	1.1767139009546315	0.018175011936116592	0.7954751035553094	0.03601969281335521	0.8189185383512468	NA	linear	16	9
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28884	s__GGB28884_SGB41565	t__SGB41565	genotype	Thy1-ASO	genotypeThy1-ASO	-2.568191250299486	-0.39204993732983545	1.483040060359368	0.2392415391999072	0.7954751035553094	0.42124656432107377	0.8560268676836894	NA	linear	16	5
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB41498	t__SGB41498	genotype	Thy1-ASO	genotypeThy1-ASO	0.9265968028455316	-0.39204993732983545	0.8148380835142801	0.16976783271721252	0.7954751035553094	0.28227474269740405	0.8391545502043397	NA	linear	16	7
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28836	s__GGB28836_SGB41497	t__SGB41497	genotype	Thy1-ASO	genotypeThy1-ASO	-11.847919888160995	-0.39204993732983545	1.853817899609128	0.02527435355541119	0.7954751035553094	0.049909914163178457	0.8189185383512468	NA	linear	16	4
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1xD42_87	t__SGB29426	genotype	Thy1-ASO	genotypeThy1-ASO	2.4785623244842108	-0.39204993732983545	0.82700710931617	0.005521435831508548	0.7954751035553094	0.011012385409375632	0.8189185383512468	NA	linear	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41609	genotype	Thy1-ASO	genotypeThy1-ASO	1.0253056216533416	-0.39204993732983545	0.771047474883557	0.09029333506198367	0.7954751035553094	0.09029333506198367	0.8189185383512468	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41611	genotype	Thy1-ASO	genotypeThy1-ASO	-1.3793157525761808	-0.39204993732983545	0.7084903597326189	0.19293930956830874	0.7954751035553094	0.34865304195992153	0.8509130359359961	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB7272	genotype	Thy1-ASO	genotypeThy1-ASO	2.844022550959181	-0.39204993732983545	1.437748148010969	0.05140166897527043	0.7954751035553094	0.10016120637709756	0.8189185383512468	NA	linear	16	11
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_0_1xD8_82	t__SGB29425	genotype	Thy1-ASO	genotypeThy1-ASO	-2.410285265468511	-0.39204993732983545	1.518758684782569	0.2058260404624188	0.7954751035553094	0.2058260404624188	0.8189185383512468	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28926	s__GGB28926_SGB41623	t__SGB41623	genotype	Thy1-ASO	genotypeThy1-ASO	-1.7765475078017539	-0.39204993732983545	0.6589924350066414	0.06519556132411641	0.7954751035553094	0.12614066143186622	0.8189185383512468	NA	linear	16	12
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28926	s__GGB28926_SGB41624	t__SGB41624	genotype	Thy1-ASO	genotypeThy1-ASO	-1.8573601348709063	-0.39204993732983545	1.1161014698746319	0.2135994060414117	0.7954751035553094	0.38157410582157947	0.8560268676836894	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28875	s__GGB28875_SGB41555	t__SGB41555	genotype	Thy1-ASO	genotypeThy1-ASO	1.2541444088409055	-0.39204993732983545	0.8700537123220133	0.09315424241922954	0.7954751035553094	0.17763077195775853	0.8189185383512468	NA	linear	16	11
k__Bacteria	p__Firmicutes	c__CFGB9658	o__OFGB9658	f__FGB9658	g__GGB29002	s__GGB29002_SGB41718	t__SGB41718	genotype	Thy1-ASO	genotypeThy1-ASO	-1.546669085816655	-0.39204993732983545	0.7530668619152027	0.1544751696614053	0.7954751035553094	0.28508776128089053	0.8391545502043397	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__CFGB9659	o__OFGB9659	f__FGB9659	g__GGB29003	s__GGB29003_SGB41719	t__SGB41719	genotype	Thy1-ASO	genotypeThy1-ASO	0.6870072584398147	-0.39204993732983545	0.6254650476563268	0.11979083965535775	0.7954751035553094	0.22523183404537983	0.8189185383512468	NA	linear	16	12
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28951	s__GGB28951_SGB102295	t__SGB102295	genotype	Thy1-ASO	genotypeThy1-ASO	2.2514827584099697	-0.39204993732983545	1.777248576416327	0.171664693415989	0.7954751035553094	0.3138606198663727	0.8442379743962038	NA	linear	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28967	s__GGB28967_SGB41678	t__SGB41678	genotype	Thy1-ASO	genotypeThy1-ASO	0.7939180506657447	-0.39204993732983545	0.541807251275858	0.050163091166863794	0.7954751035553094	0.050163091166863794	0.8189185383512468	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacteriaceae_unclassified	s__Eubacteriaceae_bacterium	t__SGB41701	genotype	Thy1-ASO	genotypeThy1-ASO	1.8435557713517416	-0.39204993732983545	1.1481621142260838	0.12437732263096735	0.7954751035553094	0.2332849268770869	0.8189185383512468	NA	linear	16	6
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB41251	genotype	Thy1-ASO	genotypeThy1-ASO	-3.3454836475765117	-0.39204993732983545	1.6792885274177674	0.10271859434991049	0.7954751035553094	0.1948860790745992	0.8189185383512468	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__CFGB9629	o__OFGB9629	f__FGB9629	g__GGB28840	s__GGB28840_SGB102297	t__SGB102297	genotype	Thy1-ASO	genotypeThy1-ASO	-2.0807699366427084	-0.39204993732983545	1.164554846651706	0.19850801541936236	0.7954751035553094	0.3576105986529905	0.8529707518882631	NA	linear	16	8
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	Thy1-ASO	genotypeThy1-ASO	1.8695474680045923	-0.39204993732983545	1.5002479649485922	0.16663316600683697	0.7954751035553094	0.3054997200002114	0.8391545502043397	NA	linear	16	11
