kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_lowii	t__SGB17080	genotype	Thy1-ASO	genotypeThy1-ASO	2.2374309978137177	0	1.198373358134434	0.06189367139068165	0.7954751035553094	0.11995651622314564	0.8189185383512468	NA	logistic	16	6
k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_pseudolongum	t__SGB17279	genotype	Thy1-ASO	genotypeThy1-ASO	-2.4748563139079645	0	2.1738508322295833	0.2549257462735969	0.7954751035553094	0.2549257462735969	0.8189185383512468	NA	logistic	16	2
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_danieliae	t__SGB82603	genotype	Thy1-ASO	genotypeThy1-ASO	2.474856313907967	0	2.173850832229579	0.25492574627359543	0.7954751035553094	0.444864356434041	0.8560268676836894	NA	logistic	16	14
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_azizii	t__SGB8210	genotype	Thy1-ASO	genotypeThy1-ASO	3.4965075614399503	0	2.1428418587555425	0.10273950344248346	0.7954751035553094	0.10273950344248346	0.8189185383512468	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__GGB31184	s__GGB31184_SGB44478	t__SGB44478	genotype	Thy1-ASO	genotypeThy1-ASO	1.5012243277932977	0	1.0500535661748907	0.1528133279479703	0.7954751035553094	0.2822747426974067	0.8391545502043397	NA	logistic	16	9
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichales_unclassified	g__GGB31171	s__GGB31171_SGB44462	t__SGB44462	genotype	Thy1-ASO	genotypeThy1-ASO	3.4965075614399557	0	2.142841858755551	0.10273950344248428	0.7954751035553094	0.02972016911096688	0.8189185383512468	NA	logistic	16	12
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_c_19	t__SGB77368	genotype	Thy1-ASO	genotypeThy1-ASO	2.237430997813722	0	1.1983733581344336	0.061893671390681027	0.7954751035553094	0.11995651622314446	0.8189185383512468	NA	logistic	16	6
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichales_unclassified	g__Erysipelotrichales_unclassified	s__Erysipelotrichales_bacterium	t__SGB44464	genotype	Thy1-ASO	genotypeThy1-ASO	-2.474856313907966	0	2.1738508322295873	0.2549257462735975	0.7954751035553094	0.2549257462735975	0.8189185383512468	NA	logistic	16	2
k__Bacteria	p__Firmicutes	c__CFGB9119	o__OFGB9119	f__FGB9119	g__GGB75959	s__GGB75959_SGB102469	t__SGB102469	genotype	Thy1-ASO	genotypeThy1-ASO	-2.4748563139079645	0	2.1738508322295833	0.2549257462735969	0.7954751035553094	0.2549257462735969	0.8189185383512468	NA	logistic	16	2
k__Bacteria	p__Firmicutes	c__CFGB10290	o__OFGB10290	f__FGB10290	g__GGB31438	s__GGB31438_SGB44768	t__SGB44768	genotype	Thy1-ASO	genotypeThy1-ASO	-2.474856313907966	0	2.1738508322295873	0.2549257462735975	0.7954751035553094	0.2549257462735975	0.8189185383512468	NA	logistic	16	2
k__Bacteria	p__Firmicutes	c__CFGB79152	o__OFGB79152	f__FGB79152	g__GGB31440	s__GGB31440_SGB94819	t__SGB94819	genotype	Thy1-ASO	genotypeThy1-ASO	-2.474856313907965	0	2.1738508322295806	0.25492574627359615	0.7954751035553094	0.25492574627359615	0.8189185383512468	NA	logistic	16	2
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28881	s__GGB28881_SGB41561	t__SGB41561	genotype	Thy1-ASO	genotypeThy1-ASO	-2.4748563139079596	0	2.1738508322295784	0.2549257462735967	0.7954751035553094	0.4448643564340433	0.8560268676836894	NA	logistic	16	14
