"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB102197"	"genotype"	"ASO"	"genotypeASO"	-3.44987898264948	-0.392049937329835	1.17012355760906	0.0404625600993431	0.795475103555309	0.0792879014288933	0.818918538351247	NA	"abundance"	16	8
"t__SGB102200"	"genotype"	"ASO"	"genotypeASO"	0.577575303910171	-0.392049937329835	0.758280317924232	0.225264043655381	0.795475103555309	0.225264043655381	0.818918538351247	NA	"abundance"	16	16
"t__SGB102224"	"genotype"	"ASO"	"genotypeASO"	-1.33356293944203	-0.392049937329835	0.742855349142333	0.233363608184054	0.795475103555309	0.412268642743427	0.855160227416002	NA	"abundance"	16	14
"t__SGB102295"	"genotype"	"ASO"	"genotypeASO"	2.25148275840997	-0.392049937329835	1.77724857641633	0.171484712233902	0.795475103555309	0.313562417937859	0.843954205078231	NA	"abundance"	16	11
"t__SGB102297"	"genotype"	"ASO"	"genotypeASO"	-2.08076993664271	-0.392049937329835	1.16455484665171	0.198572152103792	0.795475103555309	0.357713404616452	0.853420617997553	NA	"abundance"	16	8
"t__SGB1814"	"genotype"	"ASO"	"genotypeASO"	3.68007633498675	-0.392049937329835	1.2621169601691	0.19224821099612	0.795475103555309	0.347537047361031	0.848060461034999	NA	"abundance"	16	3
"t__SGB1848"	"genotype"	"ASO"	"genotypeASO"	2.59602472512395	-0.392049937329835	1.4721693054219	0.0737487436776154	0.795475103555309	0.142058610161204	0.818918538351247	NA	"abundance"	16	11
"t__SGB2089"	"genotype"	"ASO"	"genotypeASO"	0.313351723434522	-0.392049937329835	0.579601154702821	0.250588459450181	0.795475103555309	0.250588459450181	0.818918538351247	NA	"abundance"	16	16
"t__SGB21431"	"genotype"	"ASO"	"genotypeASO"	0.551054764968461	-0.392049937329835	0.65533246996042	0.179434625445372	0.795475103555309	0.326672466082023	0.846681697804428	NA	"abundance"	16	15
"t__SGB21441"	"genotype"	"ASO"	"genotypeASO"	1.80996293648578	-0.392049937329835	1.09334784257221	0.0848886498329566	0.795475103555309	0.162571216795451	0.818918538351247	NA	"abundance"	16	9
"t__SGB21581"	"genotype"	"ASO"	"genotypeASO"	0.416418274051277	-0.392049937329835	0.535377410667278	0.161559613912895	0.795475103555309	0.161559613912895	0.818918538351247	NA	"abundance"	16	16
"t__SGB21584"	"genotype"	"ASO"	"genotypeASO"	-2.63525602293769	-0.392049937329835	1.4317309642785	0.161883268730079	0.795475103555309	0.297560344765423	0.839781417449084	NA	"abundance"	16	9
"t__SGB27761"	"genotype"	"ASO"	"genotypeASO"	2.99324764605022	-0.392049937329835	1.50111680721385	0.0509462760482184	0.795475103555309	0.0992970290532556	0.818918538351247	NA	"abundance"	16	11
"t__SGB27766"	"genotype"	"ASO"	"genotypeASO"	2.06188323373866	-0.392049937329835	1.61682458448682	0.163889827897503	0.795475103555309	0.300919780106732	0.840649271479236	NA	"abundance"	16	11
"t__SGB27780"	"genotype"	"ASO"	"genotypeASO"	2.22235850894414	-0.392049937329835	1.30688015426641	0.102826803189715	0.795475103555309	0.195080254925214	0.818918538351247	NA	"abundance"	16	7
"t__SGB27790"	"genotype"	"ASO"	"genotypeASO"	1.0823767198596	-0.392049937329835	0.574220208712069	0.0243765960831933	0.795475103555309	0.0243765960831933	0.818918538351247	NA	"abundance"	16	16
"t__SGB27814"	"genotype"	"ASO"	"genotypeASO"	0.949974550815844	-0.392049937329835	0.786696289122751	0.113179112153635	0.795475103555309	0.113179112153635	0.818918538351247	NA	"abundance"	16	16
"t__SGB29425"	"genotype"	"ASO"	"genotypeASO"	-2.41028526546851	-0.392049937329835	1.51875868478257	0.206265371685123	0.795475103555309	0.206265371685123	0.818918538351247	NA	"abundance"	16	16
"t__SGB29426"	"genotype"	"ASO"	"genotypeASO"	2.47856232448421	-0.392049937329835	0.82700710931617	0.00549475068005378	0.795475103555309	0.0109593090750716	0.818918538351247	NA	"abundance"	16	13
"t__SGB35903"	"genotype"	"ASO"	"genotypeASO"	1.10781557087938	-0.392049937329835	0.74021210308657	0.0649857143841294	0.795475103555309	0.0649857143841294	0.818918538351247	NA	"abundance"	16	16
"t__SGB35935"	"genotype"	"ASO"	"genotypeASO"	0.791889064151486	-0.392049937329835	0.628838365611307	0.0844797318262547	0.795475103555309	0.0844797318262547	0.818918538351247	NA	"abundance"	16	16
"t__SGB40070"	"genotype"	"ASO"	"genotypeASO"	0.801775992118582	-0.392049937329835	0.59819215228451	0.0734230454649827	0.795475103555309	0.141455147324612	0.818918538351247	NA	"abundance"	16	14
"t__SGB40190"	"genotype"	"ASO"	"genotypeASO"	1.11946747324977	-0.392049937329835	0.48253490917	0.0123002101329912	0.795475103555309	0.0244491250966667	0.818918538351247	NA	"abundance"	16	12
"t__SGB40192"	"genotype"	"ASO"	"genotypeASO"	-1.56685643830587	-0.392049937329835	0.827076531990163	0.188561314338145	0.795475103555309	0.341567259411361	0.848060461034999	NA	"abundance"	16	12
"t__SGB40283"	"genotype"	"ASO"	"genotypeASO"	1.23010576269918	-0.392049937329835	0.579574826795969	0.0157129358734571	0.795475103555309	0.0157129358734571	0.818918538351247	NA	"abundance"	16	16
"t__SGB40294"	"genotype"	"ASO"	"genotypeASO"	1.454395423962	-0.392049937329835	0.790926871919125	0.0539193558776389	0.795475103555309	0.104931414817018	0.818918538351247	NA	"abundance"	16	9
"t__SGB40295"	"genotype"	"ASO"	"genotypeASO"	0.475818000999398	-0.392049937329835	0.501410332550938	0.112923367134764	0.795475103555309	0.112923367134764	0.818918538351247	NA	"abundance"	16	16
"t__SGB40307"	"genotype"	"ASO"	"genotypeASO"	0.930273654060883	-0.392049937329835	0.766736035268869	0.109477001705916	0.795475103555309	0.109477001705916	0.818918538351247	NA	"abundance"	16	16
"t__SGB40319"	"genotype"	"ASO"	"genotypeASO"	1.22488049222745	-0.392049937329835	0.935275203829072	0.10737365021191	0.795475103555309	0.10737365021191	0.818918538351247	NA	"abundance"	16	16
"t__SGB40323"	"genotype"	"ASO"	"genotypeASO"	-1.39913294793144	-0.392049937329835	0.650952225517415	0.151019446343272	0.795475103555309	0.279232019512715	0.839781417449084	NA	"abundance"	16	15
"t__SGB40326"	"genotype"	"ASO"	"genotypeASO"	0.305011224693728	-0.392049937329835	0.551816912467891	0.23473290142962	0.795475103555309	0.23473290142962	0.818918538351247	NA	"abundance"	16	16
"t__SGB40352"	"genotype"	"ASO"	"genotypeASO"	0.333794028082078	-0.392049937329835	0.5901925960551	0.245117395466745	0.795475103555309	0.245117395466745	0.818918538351247	NA	"abundance"	16	16
"t__SGB40368"	"genotype"	"ASO"	"genotypeASO"	0.341665821796661	-0.392049937329835	0.539184708849858	0.202611786213599	0.795475103555309	0.202611786213599	0.818918538351247	NA	"abundance"	16	16
"t__SGB40791"	"genotype"	"ASO"	"genotypeASO"	-1.54628775574085	-0.392049937329835	0.761792804474185	0.183560513058227	0.795475103555309	0.333426564162254	0.846903472972126	NA	"abundance"	16	8
"t__SGB40964"	"genotype"	"ASO"	"genotypeASO"	-4.6401656273831	-0.392049937329835	1.22543847472859	0.04089024725628	0.795475103555309	0.0801084821918803	0.818918538351247	NA	"abundance"	16	5
