kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28875	s__GGB28875_SGB41555	t__SGB41555	treatment	benCom	treatmentbenCom	-4.93571124430335	0.23599672452800582	1.0775557456894678	0.0010190072445516174	0.1667433642648148	0.0020369761133387856	0.18695563983185293	NA	linear	16	11
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_D16_56	t__SGB29422	treatment	benCom	treatmentbenCom	2.889262551119681	0.23599672452800582	0.5051637074081798	9.305217891115714e-4	0.1667433642648148	0.0018601777074231315	0.18695563983185293	NA	linear	16	10
k__Bacteria	p__Firmicutes	c__CFGB9656	o__OFGB9656	f__FGB9656	g__GGB28996	s__GGB28996_SGB41712	t__SGB41712	treatment	benCom	treatmentbenCom	-2.1348774037045	0.23599672452800582	0.5299672066634452	0.001146002503538246	0.1667433642648148	0.002290691685338376	0.18695563983185293	NA	linear	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30295	s__GGB30295_SGB43259	t__SGB43259	treatment	benCom	treatmentbenCom	2.7377681204492386	0.23599672452800582	0.5442277258175141	7.419724183452825e-4	0.1667433642648148	0.0014833943136209802	0.18695563983185293	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__CFGB9659	o__OFGB9659	f__FGB9659	g__GGB29003	s__GGB29003_SGB41719	t__SGB41719	treatment	benCom	treatmentbenCom	-2.910099707097673	0.23599672452800582	0.801841571503552	0.002548663724978306	0.18541528599217177	0.005090831763173593	0.23556849839666255	NA	linear	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium_MD308	t__SGB7279	treatment	benCom	treatmentbenCom	2.3249603246818626	0.23599672452800582	0.45091616760991504	0.0015984200395428028	0.18541528599217177	0.003194285132462793	0.20656377189926065	NA	linear	16	11
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB42330	s__GGB42330_SGB59498	t__SGB59498	treatment	benCom	treatmentbenCom	7.819277761515915	0.23599672452800582	0.3345770117097399	0.0022012119362999627	0.18541528599217177	0.004397578538611417	0.23556849839666255	NA	linear	16	4
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__Bacteria_unclassified_SGB102200	t__SGB102200	treatment	benCom	treatmentbenCom	-1.3090718355457638	0.23599672452800582	0.3996679097985915	0.00240922216278161	0.18541528599217177	0.00240922216278161	0.18695563983185293	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28836	s__GGB28836_SGB41497	t__SGB41497	treatment	benCom	treatmentbenCom	13.53659094380345	0.23599672452800582	0.8661344443617308	0.0043083084893207335	0.2786039489760741	0.008598055456602312	0.31819809670404153	NA	linear	16	4
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28957	s__GGB28957_SGB41666	t__SGB41666	treatment	benCom	treatmentbenCom	-3.1605029071675133	0.23599672452800582	1.0288566721535735	0.005464217746314337	0.2891067934868131	0.005464217746314337	0.23556849839666255	NA	linear	16	16
