kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__CFGB77305	o__OFGB77305	f__FGB77305	g__GGB28828	s__GGB28828_SGB41484	t__SGB41484	treatment	benCom	treatmentbenCom	6.993015122879883	0	2.87095210560567	0.014859613155432924	0.4733080348617018	0.014859613155432924	0.35266088872048373	NA	logistic	16	8
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__GGB30045	s__GGB30045_SGB42945	t__SGB42945	treatment	benCom	treatmentbenCom	-3.0169344811780494	0	2.149267664696342	0.1604071684210515	0.5073748479405035	0.29508387716124296	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_lowii	t__SGB17080	treatment	benCom	treatmentbenCom	-2.237430997813722	0	1.1983733581344338	0.06189367139068106	0.5073748479405035	0.11995651622314452	0.4981822730837286	NA	logistic	16	6
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__GGB31184	s__GGB31184_SGB44478	t__SGB44478	treatment	benCom	treatmentbenCom	-1.5012243277933057	0	1.050053566174891	0.1528133279479684	0.5073748479405035	0.2822747426974036	0.5504449247046302	NA	logistic	16	9
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichales_unclassified	g__GGB31171	s__GGB31171_SGB44462	t__SGB44462	treatment	benCom	treatmentbenCom	-3.976080641701819	0	2.149267664696336	0.06431787762457682	0.5073748479405035	0.1244989658670236	0.4981822730837286	NA	logistic	16	11
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_c_19	t__SGB77368	treatment	benCom	treatmentbenCom	-3.976080641701841	0	2.149267664696357	0.06431787762457797	0.5073748479405035	0.06431787762457797	0.4981822730837286	NA	logistic	16	5
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalibaculum	s__Faecalibaculum_rodentium	t__SGB4047	treatment	benCom	treatmentbenCom	-1.501224327793307	0	1.050053566174891	0.15281332794796798	0.5073748479405035	0.21206146622428002	0.540761530524323	NA	logistic	16	9
k__Bacteria	p__Firmicutes	c__CFGB79257	o__OFGB79257	f__FGB79257	g__GGB47144	s__GGB47144_SGB65073	t__SGB65073	treatment	benCom	treatmentbenCom	-3.496507561439954	0	2.142841858755547	0.10273950344248382	0.5073748479405035	0.10273950344248382	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__CFGB9119	o__OFGB9119	f__FGB9119	g__GGB75959	s__GGB75959_SGB102469	t__SGB102469	treatment	benCom	treatmentbenCom	3.016934481178053	0	2.1492676646963385	0.1604071684210503	0.5073748479405035	0.1604071684210503	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__CFGB10290	o__OFGB10290	f__FGB10290	g__GGB31438	s__GGB31438_SGB44768	t__SGB44768	treatment	benCom	treatmentbenCom	3.016934481178052	0	2.149267664696338	0.16040716842105038	0.5073748479405035	0.16040716842105038	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__CFGB10349	o__OFGB10349	f__FGB10349	g__GGB31853	s__GGB31853_SGB45233	t__SGB45233	treatment	benCom	treatmentbenCom	-3.496507561439954	0	2.142841858755547	0.10273950344248382	0.5073748479405035	0.10273950344248382	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__GGB31850	s__GGB31850_SGB45228	t__SGB45228	treatment	benCom	treatmentbenCom	-3.4965075614399432	0	2.142841858755542	0.1027395034424841	0.5073748479405035	0.1027395034424841	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__GGB81440	s__GGB81440_SGB45230	t__SGB45230	treatment	benCom	treatmentbenCom	3.0169344811780605	0	2.149267664696352	0.16040716842105196	0.5073748479405035	0.02618241142236531	0.4837512205656066	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__CFGB79224	o__OFGB79224	f__FGB79224	g__GGB28880	s__GGB28880_SGB41560	t__SGB41560	treatment	benCom	treatmentbenCom	3.016934481178053	0	2.1492676646963385	0.1604071684210503	0.5073748479405035	0.1604071684210503	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1XD8_76	t__SGB29429	treatment	benCom	treatmentbenCom	1.5012243277933022	0	1.050053566174891	0.15281332794796929	0.5073748479405035	0.05842818413362809	0.4981822730837286	NA	logistic	16	7
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB5158	t__SGB5158	treatment	benCom	treatmentbenCom	1.5012243277933022	0	1.0500535661748907	0.15281332794796912	0.5073748479405035	0.2822747426974045	0.5504449247046302	NA	logistic	16	9
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB41498	t__SGB41498	treatment	benCom	treatmentbenCom	-3.9760806417018366	0	2.1492676646963487	0.06431787762457725	0.5073748479405035	0.06431787762457725	0.4981822730837286	NA	logistic	16	5
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB41500	t__SGB41500	treatment	benCom	treatmentbenCom	-1.5012243277933073	0	1.0500535661748913	0.15281332794796804	0.5073748479405035	0.2822747426974025	0.5504449247046302	NA	logistic	16	9
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28905	s__GGB28905_SGB41598	t__SGB41598	treatment	benCom	treatmentbenCom	-3.4965075614399463	0	2.142841858755543	0.10273950344248395	0.5073748479405035	0.10273950344248395	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28910	s__GGB28910_SGB41604	t__SGB41604	treatment	benCom	treatmentbenCom	-3.496507561439954	0	2.142841858755547	0.10273950344248382	0.5073748479405035	0.10273950344248382	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28913	s__GGB28913_SGB41607	t__SGB41607	treatment	benCom	treatmentbenCom	3.016934481178052	0	2.149267664696338	0.16040716842105038	0.5073748479405035	0.16040716842105038	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41611	treatment	benCom	treatmentbenCom	-3.0169344811780494	0	2.149267664696342	0.1604071684210515	0.5073748479405035	0.29508387716124296	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28916	s__GGB28916_SGB41612	t__SGB41612	treatment	benCom	treatmentbenCom	1.7578579175518358	0	1.186810200996017	0.1385634664662206	0.5073748479405035	0.25792709869330543	0.540761530524323	NA	logistic	16	5
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor_SGB41549	t__SGB41549	treatment	benCom	treatmentbenCom	3.4965075614399415	0	2.1428418587555416	0.10273950344248421	0.5073748479405035	0.19492360131736064	0.540761530524323	NA	logistic	16	12
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28866	s__GGB28866_SGB41538	t__SGB41538	treatment	benCom	treatmentbenCom	3.9760806417018193	0	2.1492676646963353	0.06431787762457673	0.5073748479405035	0.06431787762457673	0.4981822730837286	NA	logistic	16	5
k__Bacteria	p__Firmicutes	c__CFGB78857	o__OFGB78857	f__FGB78857	g__GGB28930	s__GGB28930_SGB41631	t__SGB41631	treatment	benCom	treatmentbenCom	-3.496507561439954	0	2.142841858755547	0.10273950344248382	0.5073748479405035	0.10273950344248382	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__CFGB9657	o__OFGB9657	f__FGB9657	g__GGB28998	s__GGB28998_SGB41714	t__SGB41714	treatment	benCom	treatmentbenCom	3.016934481178052	0	2.149267664696338	0.16040716842105038	0.5073748479405035	0.16040716842105038	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28945	s__GGB28945_SGB41650	t__SGB41650	treatment	benCom	treatmentbenCom	-3.976080641701812	0	2.1492676646963353	0.06431787762457722	0.5073748479405035	0.12449896586702434	0.4981822730837286	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28946	s__GGB28946_SGB41652	t__SGB41652	treatment	benCom	treatmentbenCom	1.7578579175518394	0	1.1868102009960182	0.13856346646622023	0.5073748479405035	0.2579270986933049	0.540761530524323	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28951	s__GGB28951_SGB102295	t__SGB102295	treatment	benCom	treatmentbenCom	3.016934481178063	0	2.1492676646963558	0.1604071684210523	0.5073748479405035	0.16620536417496484	0.5038100101553622	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28951	s__GGB28951_SGB41658	t__SGB41658	treatment	benCom	treatmentbenCom	-3.0169344811780494	0	2.149267664696342	0.1604071684210515	0.5073748479405035	0.29508387716124296	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__Bacteria_unclassified_SGB41677	t__SGB41677	treatment	benCom	treatmentbenCom	-1.501224327793303	0	1.0500535661748907	0.1528133279479689	0.5073748479405035	0.28227474269740394	0.5504449247046302	NA	logistic	16	7
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28961	s__GGB28961_SGB41670	t__SGB41670	treatment	benCom	treatmentbenCom	-1.7578579175518376	0	1.1868102009960169	0.13856346646622017	0.5073748479405035	0.25706520576647796	0.540761530524323	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB41675	treatment	benCom	treatmentbenCom	3.0169344811780596	0	2.149267664696348	0.1604071684210512	0.5073748479405035	0.29508387716124285	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacteriaceae_unclassified	s__Eubacteriaceae_bacterium	t__SGB41701	treatment	benCom	treatmentbenCom	1.5012243277933024	0	1.050053566174891	0.15281332794796929	0.5073748479405035	0.28227474269740516	0.5504449247046302	NA	logistic	16	7
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28990	s__GGB28990_SGB41704	t__SGB41704	treatment	benCom	treatmentbenCom	-3.976080641701821	0	2.1492676646963336	0.0643178776245764	0.5073748479405035	0.12449896586702282	0.4981822730837286	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28991	s__GGB28991_SGB41705	t__SGB41705	treatment	benCom	treatmentbenCom	4.518158808971928	0	2.1738508322295815	0.037671379591368126	0.5073748479405035	0.037671379591368126	0.4981822730837286	NA	logistic	16	6
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB41251	treatment	benCom	treatmentbenCom	-3.01693448117806	0	2.1492676646963367	0.160407168421049	0.5073748479405035	0.2950838771612392	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB29011	s__GGB29011_SGB41731	t__SGB41731	treatment	benCom	treatmentbenCom	3.016934481178052	0	2.149267664696338	0.16040716842105038	0.5073748479405035	0.16040716842105038	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__CFGB8118	o__OFGB8118	f__FGB8118	g__GGB29005	s__GGB29005_SGB41723	t__SGB41723	treatment	benCom	treatmentbenCom	-1.7578579175518338	0	1.186810200996016	0.1385634664662207	0.5073748479405035	0.2579270986933061	0.540761530524323	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__CFGB9656	o__OFGB9656	f__FGB9656	g__GGB28996	s__GGB28996_SGB41712	t__SGB41712	treatment	benCom	treatmentbenCom	-3.0169344811780494	0	2.149267664696342	0.1604071684210515	0.5073748479405035	0.002290691685338376	0.18695563983185293	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28822	s__GGB28822_SGB41478	t__SGB41478	treatment	benCom	treatmentbenCom	3.016934481178052	0	2.149267664696338	0.16040716842105038	0.5073748479405035	0.16040716842105038	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28821	s__GGB28821_SGB41477	t__SGB41477	treatment	benCom	treatmentbenCom	3.016934481178052	0	2.149267664696338	0.16040716842105038	0.5073748479405035	0.16040716842105038	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41480	treatment	benCom	treatmentbenCom	-3.01693448117806	0	2.1492676646963367	0.160407168421049	0.5073748479405035	0.26934724446558556	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28818	s__GGB28818_SGB41473	t__SGB41473	treatment	benCom	treatmentbenCom	3.016934481178053	0	2.1492676646963385	0.1604071684210503	0.5073748479405035	0.1604071684210503	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__CFGB9629	o__OFGB9629	f__FGB9629	g__GGB28840	s__GGB28840_SGB102297	t__SGB102297	treatment	benCom	treatmentbenCom	3.016934481178062	0	2.1492676646963544	0.1604071684210522	0.5073748479405035	0.20661943671593086	0.540761530524323	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28790	s__GGB28790_SGB41443	t__SGB41443	treatment	benCom	treatmentbenCom	-2.2374309978137177	0	1.198373358134432	0.06189367139068122	0.5073748479405035	0.11995651622314481	0.4981822730837286	NA	logistic	16	6
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28802	s__GGB28802_SGB41455	t__SGB41455	treatment	benCom	treatmentbenCom	3.016934481178052	0	2.149267664696338	0.16040716842105038	0.5073748479405035	0.16040716842105038	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28803	s__GGB28803_SGB41457	t__SGB41457	treatment	benCom	treatmentbenCom	-3.01693448117806	0	2.1492676646963367	0.160407168421049	0.5073748479405035	0.11947669010882846	0.4981822730837286	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified_SGB59780	t__SGB59780	treatment	benCom	treatmentbenCom	3.016934481178052	0	2.149267664696338	0.16040716842105038	0.5073748479405035	0.16040716842105038	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium_A2	t__SGB7277	treatment	benCom	treatmentbenCom	-3.496507561439954	0	2.142841858755547	0.10273950344248382	0.5073748479405035	0.10273950344248382	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB59798	treatment	benCom	treatmentbenCom	-3.0169344811780494	0	2.149267664696342	0.1604071684210515	0.5073748479405035	0.29508387716124296	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB7271	treatment	benCom	treatmentbenCom	-3.4965075614399432	0	2.142841858755542	0.1027395034424841	0.5073748479405035	0.1027395034424841	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41402	treatment	benCom	treatmentbenCom	2.237430997813724	0	1.1983733581344338	0.06189367139068087	0.5073748479405035	0.11995651622314416	0.4981822730837286	NA	logistic	16	6
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB81415	s__GGB81415_SGB59846	t__SGB59846	treatment	benCom	treatmentbenCom	-2.2374309978137203	0	1.1983733581344338	0.06189367139068128	0.5073748479405035	0.11995651622314492	0.4981822730837286	NA	logistic	16	10
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB59842	treatment	benCom	treatmentbenCom	2.237430997813724	0	1.1983733581344338	0.06189367139068087	0.5073748479405035	0.11995651622314416	0.4981822730837286	NA	logistic	16	6
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Sporofaciens	s__Sporofaciens_musculi	t__SGB41410	treatment	benCom	treatmentbenCom	-2.7795091650832515	0	1.2419235975447063	0.02521663664892988	0.5073748479405035	0.04979739453397561	0.4981822730837286	NA	logistic	16	7
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__Clostridia_unclassified	s__Clostridia_bacterium	t__SGB41508	treatment	benCom	treatmentbenCom	-3.0169344811780494	0	2.149267664696342	0.1604071684210515	0.5073748479405035	0.29508387716124296	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__Clostridia_unclassified	s__Clostridia_bacterium	t__SGB41511	treatment	benCom	treatmentbenCom	1.5012243277933042	0	1.0500535661748913	0.15281332794796887	0.5073748479405035	0.28227474269740394	0.5504449247046302	NA	logistic	16	7
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified_SGB41521	t__SGB41521	treatment	benCom	treatmentbenCom	-1.501224327793304	0	1.050053566174891	0.15281332794796887	0.5073748479405035	0.28227474269740394	0.5504449247046302	NA	logistic	16	9
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28845	s__GGB28845_SGB41512	t__SGB41512	treatment	benCom	treatmentbenCom	1.5012243277933066	0	1.050053566174891	0.15281332794796812	0.5073748479405035	0.2822747426974027	0.5504449247046302	NA	logistic	16	7
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB7268	treatment	benCom	treatmentbenCom	3.0169344811780605	0	2.1492676646963487	0.1604071684210512	0.5073748479405035	0.29508387716124285	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__Clostridia_unclassified	s__Clostridia_bacterium	t__SGB41692	treatment	benCom	treatmentbenCom	-3.01693448117806	0	2.1492676646963367	0.160407168421049	0.5073748479405035	0.2950838771612392	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__CFGB1765	o__OFGB1765	f__FGB1765	g__GGB31701	s__GGB31701_SGB45057	t__SGB45057	treatment	benCom	treatmentbenCom	2.043302495062833	0	1.0994944331321523	0.06311196894242853	0.5073748479405035	0.12224081726106703	0.4981822730837286	NA	logistic	16	8
k__Bacteria	p__Firmicutes	c__CFGB28439	o__OFGB28439	f__FGB28439	g__GGB42327	s__GGB42327_SGB59494	t__SGB59494	treatment	benCom	treatmentbenCom	-3.496507561439954	0	2.142841858755547	0.10273950344248382	0.5073748479405035	0.10273950344248382	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__CFGB28439	o__OFGB28439	f__FGB28439	g__GGB28439	s__GGB28439_SGB41022	t__SGB41022	treatment	benCom	treatmentbenCom	1.7578579175518385	0	1.1868102009960184	0.13856346646622048	0.5073748479405035	0.2579270986933059	0.540761530524323	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Pumilibacteraceae	g__Anaerocaecibacter	s__Anaerocaecibacter_sp_CLA_AA_M11	t__SGB41016	treatment	benCom	treatmentbenCom	-3.0169344811780494	0	2.149267664696342	0.1604071684210515	0.5073748479405035	0.06423752685154037	0.4981822730837286	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__CFGB10253	o__OFGB10253	f__FGB10253	g__GGB31256	s__GGB31256_SGB44562	t__SGB44562	treatment	benCom	treatmentbenCom	-3.496507561439954	0	2.142841858755547	0.10273950344248382	0.5073748479405035	0.10273950344248382	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__CFGB9495	o__OFGB9495	f__FGB9495	g__GGB28357	s__GGB28357_SGB40935	t__SGB40935	treatment	benCom	treatmentbenCom	3.016934481178049	0	2.1492676646963376	0.16040716842105066	0.5073748479405035	0.16040716842105066	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__CFGB9508	o__OFGB9508	f__FGB9508	g__GGB28383	s__GGB28383_SGB40963	t__SGB40963	treatment	benCom	treatmentbenCom	-3.496507561439954	0	2.142841858755547	0.10273950344248382	0.5073748479405035	0.10273950344248382	0.4981822730837286	NA	logistic	16	4
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB28419	s__GGB28419_SGB41002	t__SGB41002	treatment	benCom	treatmentbenCom	1.7578579175518394	0	1.1868102009960182	0.13856346646622023	0.5073748479405035	0.2579270986933049	0.540761530524323	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB28418	s__GGB28418_SGB41001	t__SGB41001	treatment	benCom	treatmentbenCom	-3.016934481178054	0	2.149267664696344	0.1604071684210512	0.5073748479405035	0.08241202666227264	0.4981822730837286	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB28402	s__GGB28402_SGB40984	t__SGB40984	treatment	benCom	treatmentbenCom	-4.518158808971928	0	2.173850832229582	0.03767137959136816	0.5073748479405035	0.07392362634241936	0.4981822730837286	NA	logistic	16	10
k__Bacteria	p__Firmicutes	c__CFGB77399	o__OFGB77399	f__FGB77399	g__GGB42344	s__GGB42344_SGB59512	t__SGB59512	treatment	benCom	treatmentbenCom	-3.016934481178062	0	2.149267664696355	0.1604071684210523	0.5073748479405035	0.1604071684210523	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium_MD329	t__SGB42354	treatment	benCom	treatmentbenCom	-3.0169344811780636	0	2.149267664696356	0.1604071684210523	0.5073748479405035	0.1604071684210523	0.4981822730837286	NA	logistic	16	3
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB43075	treatment	benCom	treatmentbenCom	-2.237430997813723	0	1.1983733581344338	0.061893671390680964	0.5073748479405035	0.10770093606133277	0.4981822730837286	NA	logistic	16	10
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30463	s__GGB30463_SGB102197	t__SGB102197	treatment	benCom	treatmentbenCom	4.518158808971929	0	2.173850832229588	0.037671379591368646	0.5073748479405035	0.07392362634242033	0.4981822730837286	NA	logistic	16	10
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1xD42_67	t__SGB29335	treatment	benCom	treatmentbenCom	-1.7578579175518367	0	1.186810200996017	0.1385634664662204	0.5073748479405035	0.2579270986933051	0.540761530524323	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30461	s__GGB30461_SGB43530	t__SGB43530	treatment	benCom	treatmentbenCom	-3.01693448117806	0	2.1492676646963367	0.160407168421049	0.5073748479405035	0.2950838771612392	0.5504449247046302	NA	logistic	16	13
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30475	s__GGB30475_SGB63182	t__SGB63182	treatment	benCom	treatmentbenCom	-3.976080641701819	0	2.149267664696336	0.06431787762457682	0.5073748479405035	0.1244989658670236	0.4981822730837286	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30453	s__GGB30453_SGB43513	t__SGB43513	treatment	benCom	treatmentbenCom	3.4965075614399415	0	2.1428418587555416	0.10273950344248421	0.5073748479405035	0.19492360131736064	0.540761530524323	NA	logistic	16	12
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB75053	s__GGB75053_SGB43494	t__SGB43494	treatment	benCom	treatmentbenCom	3.4965075614399415	0	2.1428418587555416	0.10273950344248421	0.5073748479405035	0.07665668758504882	0.4981822730837286	NA	logistic	16	12
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Oscillibacter	s__Oscillibacter_SGB43496	t__SGB43496	treatment	benCom	treatmentbenCom	1.7578579175518367	0	1.1868102009960182	0.13856346646622078	0.5073748479405035	0.257927098693306	0.540761530524323	NA	logistic	16	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Oscillospiraceae_unclassified	s__Oscillospiraceae_unclassified_SGB94989	t__SGB94989	treatment	benCom	treatmentbenCom	-3.976080641701819	0	2.1492676646963393	0.06431787762457726	0.5073748479405035	0.12449896586702446	0.4981822730837286	NA	logistic	16	11
