"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB29422"	"treatment"	"benCom"	"treatmentbenCom"	2.88926255111968	0.235996724528006	0.50516370740818	0.000923931165153213	0.16660013008365	0.00184700868150849	0.184636693779797	NA	"abundance"	16	10
"t__SGB41555"	"treatment"	"benCom"	"treatmentbenCom"	-4.93571124430335	0.235996724528006	1.07755574568947	0.00101809031656375	0.16660013008365	0.00203514412523481	0.184636693779797	NA	"abundance"	16	11
"t__SGB41712"	"treatment"	"benCom"	"treatmentbenCom"	-2.1348774037045	0.235996724528006	0.529967206663445	0.00114501807617629	0.16660013008365	0.0022887250859578	0.184636693779797	NA	"abundance"	16	13
"t__SGB43259"	"treatment"	"benCom"	"treatmentbenCom"	2.73776812044924	0.235996724528006	0.544227725817514	0.00075827216899893	0.16660013008365	0.00151596936131558	0.184636693779797	NA	"abundance"	16	14
"t__SGB7279"	"treatment"	"benCom"	"treatmentbenCom"	2.32496032468186	0.235996724528006	0.450916167609915	0.00154522798827439	0.179864537835139	0.00308806824701303	0.19969507997351	NA	"abundance"	16	11
"t__SGB102200"	"treatment"	"benCom"	"treatmentbenCom"	-1.30907183554576	0.235996724528006	0.399667909798592	0.00237933883736852	0.186613246608202	0.00237933883736852	0.184636693779797	NA	"abundance"	16	16
"t__SGB41719"	"treatment"	"benCom"	"treatmentbenCom"	-2.91009970709767	0.235996724528006	0.801841571503552	0.00256513053756979	0.186613246608202	0.00512368118046481	0.237276716609599	NA	"abundance"	16	13
"t__SGB59498"	"treatment"	"benCom"	"treatmentbenCom"	7.81927776151591	0.235996724528006	0.33457701170974	0.00220883787984927	0.186613246608202	0.00441279679491908	0.237276716609599	NA	"abundance"	16	4
"t__SGB41497"	"treatment"	"benCom"	"treatmentbenCom"	13.5365909438034	0.235996724528006	0.866134444361731	0.00429528600953955	0.277761828616891	0.00857212253717534	0.316583625531223	NA	"abundance"	16	4
"t__SGB40964"	"treatment"	"benCom"	"treatmentbenCom"	5.33107206019144	0.235996724528006	0.913085775035405	0.00522614841574887	0.291203243111781	0.0104249842042343	0.316583625531223	NA	"abundance"	16	6
"t__SGB41666"	"treatment"	"benCom"	"treatmentbenCom"	-3.16050290716751	0.235996724528006	1.02885667215357	0.00550384136465565	0.291203243111781	0.00550384136465565	0.237276716609599	NA	"abundance"	16	16
"t__SGB40326"	"treatment"	"benCom"	"treatmentbenCom"	-1.97023214064511	0.235996724528006	0.738604432698015	0.0106071833296544	0.457765132515512	0.0106071833296544	0.316583625531223	NA	"abundance"	16	16
"t__SGB41417"	"treatment"	"benCom"	"treatmentbenCom"	-1.67438794571099	0.235996724528006	0.632362925438061	0.0103169329231644	0.457765132515512	0.0103169329231644	0.316583625531223	NA	"abundance"	16	16
"t__SGB41656"	"treatment"	"benCom"	"treatmentbenCom"	1.61064185346682	0.235996724528006	0.449049658136055	0.0110115323972804	0.457765132515512	0.0219018109488244	0.424895132407193	NA	"abundance"	16	15
"t__SGB35935"	"treatment"	"benCom"	"treatmentbenCom"	-1.6127922321643	0.235996724528006	0.628570831591614	0.0118708459649421	0.460588823439755	0.0118708459649421	0.328992016742682	NA	"abundance"	16	16
"t__SGB41678"	"treatment"	"benCom"	"treatmentbenCom"	-1.2180705755034	0.235996724528006	0.511898492494821	0.0151309111943383	0.463483700794994	0.0151309111943383	0.34534079667078	NA	"abundance"	16	16
"t__SGB43267"	"treatment"	"benCom"	"treatmentbenCom"	-1.51266977407837	0.235996724528006	0.610918951197486	0.0141086477689223	0.463483700794994	0.0141086477689223	0.34534079667078	NA	"abundance"	16	16
"t__SGB45230"	"treatment"	"benCom"	"treatmentbenCom"	3.91232262680237	0.235996724528006	1.23961426019716	0.0132494534838019	0.463483700794994	0.0263233589499844	0.486355393933045	NA	"abundance"	16	13
"t__SGB41484"	"treatment"	"benCom"	"treatmentbenCom"	6.99301512287988	0	2.87095210560567	0.0148596131554329	0.463483700794994	0.0148596131554329	0.34534079667078	NA	"prevalence"	16	8
"t__SGB7270"	"treatment"	"benCom"	"treatmentbenCom"	-0.787666692796002	0.235996724528006	0.357978532061334	0.0172569612133031	0.494688404035307	0.0172569612133031	0.371983386153423	NA	"abundance"	16	16
"t__SGB82505"	"treatment"	"benCom"	"treatmentbenCom"	1.27074762694811	0.235996724528006	0.35710908278976	0.0178495815889028	0.494688404035307	0.0353805556149067	0.497903850778946	NA	"abundance"	16	14
"t__SGB102295"	"treatment"	"benCom"	"treatmentbenCom"	-0.854133152812521	0.235996724528006	0.567221004144492	0.0872131748936726	0.507374847940503	0.166820211912311	0.504676665836035	NA	"abundance"	16	13
"t__SGB102297"	"treatment"	"benCom"	"treatmentbenCom"	1.6299061707845	0.235996724528006	0.791572974153854	0.109533574535801	0.507374847940503	0.207069545121012	0.540911714814353	NA	"abundance"	16	13
"t__SGB102306"	"treatment"	"benCom"	"treatmentbenCom"	2.0005360351341	0.235996724528006	1.02874997836105	0.139362468018635	0.507374847940503	0.259303038545025	0.540911714814353	NA	"abundance"	16	8
"t__SGB14802"	"treatment"	"benCom"	"treatmentbenCom"	-0.31905474723043	0.235996724528006	0.17487555099513	0.0208512869727868	0.507374847940503	0.0208512869727868	0.424895132407193	NA	"abundance"	16	16
"t__SGB2089"	"treatment"	"benCom"	"treatmentbenCom"	-1.02051293231338	0.235996724528006	0.620517629982953	0.0669571060694094	0.507374847940503	0.0669571060694094	0.497903850778946	NA	"abundance"	16	16
"t__SGB21446"	"treatment"	"benCom"	"treatmentbenCom"	-1.04114888983371	0.235996724528006	0.798586154728625	0.135922835810824	0.507374847940503	0.135922835810824	0.497903850778946	NA	"abundance"	16	16
"t__SGB27763"	"treatment"	"benCom"	"treatmentbenCom"	-0.99475027491889	0.235996724528006	0.600548267179994	0.064113239320247	0.507374847940503	0.064113239320247	0.497903850778946	NA	"abundance"	16	16
"t__SGB27767"	"treatment"	"benCom"	"treatmentbenCom"	-2.13192502752431	0.235996724528006	1.17075515442897	0.0639377300953361	0.507374847940503	0.0639377300953361	0.497903850778946	NA	"abundance"	16	16
"t__SGB27814"	"treatment"	"benCom"	"treatmentbenCom"	-1.39135946136613	0.235996724528006	0.757246996683662	0.0523411813247077	0.507374847940503	0.0523411813247077	0.497903850778946	NA	"abundance"	16	16
"t__SGB29425"	"treatment"	"benCom"	"treatmentbenCom"	2.6561151326105	0.235996724528006	1.3181398298554	0.0889121909591439	0.507374847940503	0.0889121909591439	0.497903850778946	NA	"abundance"	16	16
