"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB41518"	"cohort"	"Fp7"	"cohortFp7"	2.4320524434662	-0.125414646700595	0.49264590244246	1.86909908685973e-05	0.0258309493804014	1.86909908685973e-05	0.0159994881835193	NA	"abundance"	32	32
"t__SGB29426"	"genotype"	"ASO"	"genotypeASO"	2.48175311948773	-0.317824065150743	0.631674618066136	0.000251322214713801	0.173663650367236	0.000502581266571993	0.215104782092813	NA	"abundance"	32	24
"t__SGB102608"	"genotype"	"ASO"	"genotypeASO"	4.86852609115137	-0.317824065150743	1.07497581213922	0.00297444971703797	0.316206885303575	0.00594005208295677	0.338978972200733	NA	"abundance"	32	9
"t__SGB27761"	"cohort"	"Fp7"	"cohortFp7"	2.939727338814	-0.125414646700595	0.856219532953511	0.0020811856772982	0.316206885303575	0.00415804002077301	0.338978972200733	NA	"abundance"	32	22
"t__SGB40323"	"genotype"	"ASO"	"genotypeASO"	-1.70246070428954	-0.317824065150743	0.415246826204871	0.00288550808677868	0.316206885303575	0.00576269001663849	0.338978972200733	NA	"abundance"	32	31
"t__SGB41020"	"genotype"	"ASO"	"genotypeASO"	-1.59839159144839	-0.317824065150743	0.370479395230377	0.00229503046812862	0.316206885303575	0.00458479377140761	0.338978972200733	NA	"abundance"	32	30
"t__SGB41435"	"genotype"	"ASO"	"genotypeASO"	3.70083917465246	-0.317824065150743	1.02982147410319	0.000742327681613864	0.316206885303575	0.00148410431284084	0.281287676417155	NA	"abundance"	32	26
"t__SGB41510"	"cohort"	"Fp7"	"cohortFp7"	0.940212166073719	-0.125414646700595	0.296675617309369	0.001890153321917	0.316206885303575	0.00377673396425365	0.338978972200733	NA	"abundance"	32	31
"t__SGB41523"	"cohort"	"Fp7"	"cohortFp7"	1.56998507554754	-0.125414646700595	0.468920622735468	0.00154705295079172	0.316206885303575	0.00309171252875088	0.338978972200733	NA	"abundance"	32	28
"t__SGB41569"	"cohort"	"Fp7"	"cohortFp7"	1.32489833299083	-0.125414646700595	0.408036968056221	0.00164303549309086	0.316206885303575	0.00164303549309086	0.281287676417155	NA	"abundance"	32	32
"t__SGB41595"	"cohort"	"Fp7"	"cohortFp7"	2.59495570200339	-0.125414646700595	0.737279255182707	0.000994767580380085	0.316206885303575	0.000994767580380085	0.281287676417155	NA	"abundance"	32	32
"t__SGB41634"	"genotype"	"ASO"	"genotypeASO"	-2.34097400287333	-0.317824065150743	0.602791534176963	0.00273621203163854	0.316206885303575	0.005464937206995	0.338978972200733	NA	"abundance"	32	28
"t__SGB41668"	"cohort"	"Fp7"	"cohortFp7"	2.77950916508325	0	0.878172597539455	0.00155026579336627	0.316206885303575	0.00309812826270245	0.338978972200733	NA	"prevalence"	32	18
"t__SGB41516"	"cohort"	"Fp7"	"cohortFp7"	1.32261126937929	-0.125414646700595	0.440918659601383	0.00331560064755043	0.316688783473865	0.00662020808744683	0.348079934481791	NA	"abundance"	32	30
"t__SGB41013"	"genotype"	"ASO"	"genotypeASO"	-2.51104178525937	0	0.864231614240156	0.00366644032965401	0.316688783473865	0.00731943787461711	0.348079934481791	NA	"prevalence"	32	19
"t__SGB41621"	"cohort"	"Fp7"	"cohortFp7"	-2.38598392400931	0	0.818704736104308	0.00356441520603647	0.316688783473865	0.00711612535631191	0.348079934481791	NA	"prevalence"	32	17
"t__SGB102608"	"cohort"	"Fp7"	"cohortFp7"	-5.60956961143641	-0.125414646700595	1.21890799899859	0.0041634497433134	0.330320512952619	0.0083095651728617	0.369384198855061	NA	"abundance"	32	9
"t__SGB41719"	"cohort"	"Fp7"	"cohortFp7"	-3.14376038099053	-0.125414646700595	0.954593057325957	0.00454130951237319	0.330320512952619	0.00906199553265922	0.369384198855061	NA	"abundance"	32	26
"t__SGB43259"	"cohort"	"Fp7"	"cohortFp7"	1.78243029557993	-0.125414646700595	0.613162868465793	0.00447234182031386	0.330320512952619	0.00447234182031386	0.338978972200733	NA	"abundance"	32	32
"t__SGB14802"	"cohort"	"Fp7"	"cohortFp7"	-0.70607318203043	-0.125414646700595	0.169781947399802	0.00519608129629989	0.359049217574323	0.00519608129629989	0.338978972200733	NA	"abundance"	32	32
"t__SGB59498"	"cohort"	"Fp7"	"cohortFp7"	5.83824821800048	-0.125414646700595	1.64119051439112	0.0067042641796089	0.441204433153309	0.0133635812010278	0.41340448059579	NA	"abundance"	32	11
"t__SGB102295"	"genotype"	"ASO"	"genotypeASO"	2.44401292897264	-0.317824065150743	1.03467905215737	0.0138943064331591	0.474050426412456	0.0275955611150598	0.51690466602203	NA	"abundance"	32	26
"t__SGB27761"	"genotype"	"ASO"	"genotypeASO"	1.92165115396459	-0.317824065150743	0.859779712687822	0.0178369190835367	0.474050426412456	0.0353556824846807	0.521801107015288	NA	"abundance"	32	22
"t__SGB27767"	"cohort"	"Fp7"	"cohortFp7"	-1.8066657775134	-0.125414646700595	0.638276597691535	0.0143206622286653	0.474050426412456	0.0284362430906632	0.51690466602203	NA	"abundance"	32	31
"t__SGB27814"	"cohort"	"Fp7"	"cohortFp7"	-2.00787532021319	-0.125414646700595	0.70046471604614	0.012374869012228	0.474050426412456	0.012374869012228	0.41340448059579	NA	"abundance"	32	32
"t__SGB29426"	"cohort"	"Fp7"	"cohortFp7"	1.54963428924428	-0.125414646700595	0.631674618066136	0.0158140242245337	0.474050426412456	0.0313779650868933	0.51690466602203	NA	"abundance"	32	24
"t__SGB29427"	"genotype"	"ASO"	"genotypeASO"	-2.4749170148514	-0.317824065150743	0.753103309887831	0.00894247883267585	0.474050426412456	0.0178049897376788	0.465064623107935	NA	"abundance"	32	27
"t__SGB40964"	"genotype"	"ASO"	"genotypeASO"	-3.42375291352854	-0.317824065150743	0.866161381681279	0.0117588438447549	0.474050426412456	0.0233794172809445	0.500319529812212	NA	"abundance"	32	9
"t__SGB41418"	"cohort"	"Fp7"	"cohortFp7"	5.37362932210348	-0.125414646700595	0.988473167125365	0.0115642054478928	0.474050426412456	0.0229946800481446	0.500319529812212	NA	"abundance"	32	6
"t__SGB41446"	"cohort"	"Fp7"	"cohortFp7"	0.822824842072326	-0.125414646700595	0.351449816792322	0.0140055256276611	0.474050426412456	0.0140055256276611	0.41340448059579	NA	"abundance"	32	32
"t__SGB41462"	"cohort"	"Fp7"	"cohortFp7"	-2.19242612634403	-0.125414646700595	0.716560396722065	0.00900055082653473	0.474050426412456	0.0179200917378884	0.465064623107935	NA	"abundance"	32	25
"t__SGB41475"	"cohort"	"Fp7"	"cohortFp7"	0.697371098327859	-0.125414646700595	0.278906550215991	0.00885834677023378	0.474050426412456	0.00885834677023378	0.369384198855061	NA	"abundance"	32	32
"t__SGB41580"	"genotype"	"ASO"	"genotypeASO"	1.51573331409312	-0.317824065150743	0.635308161505936	0.00932658175858059	0.474050426412456	0.0185661783898617	0.465064623107935	NA	"abundance"	32	24
"t__SGB41589"	"cohort"	"Fp7"	"cohortFp7"	0.846775969699256	-0.125414646700595	0.336981032896297	0.00982768800607947	0.474050426412456	0.0195587925606141	0.465064623107935	NA	"abundance"	32	29
"t__SGB41596"	"cohort"	"Fp7"	"cohortFp7"	-4.36158223063982	-0.125414646700595	1.25258397167328	0.00972794831931356	0.474050426412456	0.0193612636601239	0.465064623107935	NA	"abundance"	32	11
"t__SGB41623"	"genotype"	"ASO"	"genotypeASO"	-1.49341561957703	-0.317824065150743	0.42067799765934	0.0116682448458677	0.474050426412456	0.0232003417539523	0.500319529812212	NA	"abundance"	32	26
"t__SGB41656"	"cohort"	"Fp7"	"cohortFp7"	0.944822389883686	-0.125414646700595	0.389879567464351	0.0126818537610367	0.474050426412456	0.0252028781072571	0.51690466602203	NA	"abundance"	32	29
"t__SGB41704"	"genotype"	"ASO"	"genotypeASO"	-1.15661181883023	-0.317824065150743	0.303883031107177	0.0168134461012222	0.474050426412456	0.0333442002326456	0.518957007257175	NA	"abundance"	32	19
"t__SGB43003"	"genotype"	"ASO"	"genotypeASO"	1.3092777643928	-0.317824065150743	0.584952113856502	0.0100317231722928	0.474050426412456	0.0100317231722928	0.388948297612618	NA	"abundance"	32	32
"t__SGB43514"	"cohort"	"Fp7"	"cohortFp7"	-1.41908889384085	-0.125414646700595	0.484336059224138	0.0135260910784927	0.474050426412456	0.0135260910784927	0.41340448059579	NA	"abundance"	32	32
"t__SGB45231"	"cohort"	"Fp7"	"cohortFp7"	1.34024734153893	-0.125414646700595	0.528100931045116	0.0104507136040773	0.474050426412456	0.0104507136040773	0.388948297612618	NA	"abundance"	32	32
"t__SGB59511"	"cohort"	"Fp7"	"cohortFp7"	-1.94437559167512	-0.125414646700595	0.641493961708174	0.0157215210356291	0.474050426412456	0.0311958758475844	0.51690466602203	NA	"abundance"	32	15
"t__SGB59774"	"cohort"	"Fp7"	"cohortFp7"	1.85256617358291	-0.125414646700595	0.65613107218321	0.00878661421608995	0.474050426412456	0.0174960238427975	0.465064623107935	NA	"abundance"	32	19
"t__SGB59846"	"cohort"	"Fp7"	"cohortFp7"	1.9264446614575	-0.125414646700595	0.767393634283385	0.015156559432403	0.474050426412456	0.0300833975709781	0.51690466602203	NA	"abundance"	32	23
"t__SGB33580"	"genotype"	"ASO"	"genotypeASO"	-2.0046041009168	0	0.844531311992201	0.0176142340253365	0.474050426412456	0.0349182068103737	0.521801107015288	NA	"prevalence"	32	17
"t__SGB41402"	"cohort"	"Fp7"	"cohortFp7"	2.092038564786	0	0.873106560324624	0.0165711934976834	0.474050426412456	0.0328677825414291	0.518957007257175	NA	"prevalence"	32	21
"t__SGB41596"	"cohort"	"Fp7"	"cohortFp7"	2.0046041009168	0	0.844531311992198	0.0176142340253362	0.474050426412456	0.0193612636601239	0.465064623107935	NA	"prevalence"	32	11
"t__SGB41624"	"cohort"	"Fp7"	"cohortFp7"	-2.34849052690602	0	0.986951563775215	0.0173342709870625	0.474050426412456	0.034368065023472	0.521801107015288	NA	"prevalence"	32	23
"t__SGB42338"	"cohort"	"Fp7"	"cohortFp7"	-3.75722148073338	0	1.52169881161107	0.0135454617295236	0.474050426412456	0.0135454617295236	0.41340448059579	NA	"prevalence"	32	9
"t__SGB42342"	"cohort"	"Fp7"	"cohortFp7"	3.7572214807334	0	1.52169881161106	0.0135454617295223	0.474050426412456	0.0135454617295223	0.41340448059579	NA	"prevalence"	32	9
"t__SGB45198"	"cohort"	"Fp7"	"cohortFp7"	2.45851646510761	0	1.01889979007952	0.0158256001803623	0.474050426412456	0.031400750739656	0.51690466602203	NA	"prevalence"	32	9
"t__SGB59498"	"cohort"	"Fp7"	"cohortFp7"	2.092038564786	0	0.873106560324626	0.0165711934976837	0.474050426412456	0.0133635812010278	0.41340448059579	NA	"prevalence"	32	11
"t__SGB36974"	"cohort"	"Fp7"	"cohortFp7"	1.56805408864703	-0.125414646700595	0.662190604744447	0.0185312123343138	0.476880919022975	0.0367190188380481	0.527591372292468	NA	"abundance"	32	26
"t__SGB40326"	"cohort"	"Fp7"	"cohortFp7"	-1.33714065435807	-0.125414646700595	0.477238375756969	0.0189786183402776	0.476880919022975	0.0375970487264492	0.527591372292468	NA	"abundance"	32	30
"t__SGB43521"	"cohort"	"Fp7"	"cohortFp7"	1.83847296971038	0	0.783343802410666	0.0189275201026215	0.476880919022975	0.0374967891880079	0.527591372292468	NA	"prevalence"	32	19
"t__SGB41496"	"cohort"	"Fp7"	"cohortFp7"	3.58159187259211	0	1.53298212068941	0.0194726986354595	0.479786348619723	0.0194726986354595	0.465064623107935	NA	"prevalence"	32	8
"t__SGB41677"	"genotype"	"ASO"	"genotypeASO"	1.76763263910022	0	0.758532364794714	0.0197885831196268	0.479786348619723	0.0391855782173712	0.527645233949322	NA	"prevalence"	32	17
"t__SGB41531"	"cohort"	"Fp7"	"cohortFp7"	1.88007416959224	-0.125414646700595	0.772930672254941	0.0202580556561338	0.482700567530637	0.0401057224933006	0.527645233949322	NA	"abundance"	32	19
