kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28851	s__GGB28851_SGB41518	t__SGB41518	cohort	Fp7	cohortFp7	2.432052443466203	-0.12541464670059543	0.49264590244245976	1.8967994397267596e-5	0.026213768257023817	1.8967994397267596e-5	0.016236603204061062	NA	linear	32	32
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1xD42_87	t__SGB29426	genotype	Thy1-ASO	genotypeThy1-ASO	2.481753119487733	-0.3178240651507425	0.6316746180661358	2.501258681157914e-4	0.17283697486801186	5.001891732816826e-4	0.21408096616456015	NA	linear	32	24
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41569	cohort	Fp7	cohortFp7	1.3248983329908262	-0.12541464670059543	0.4080369680562214	0.001665372461673087	0.3110257437195109	0.001665372461673087	0.2851117654384325	NA	linear	32	32
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	cohort	Fp7	cohortFp7	2.5949557020033946	-0.12541464670059543	0.7372792551827071	9.923644286787825e-4	0.3110257437195109	9.923644286787825e-4	0.2831546503163459	NA	linear	32	32
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	Thy1-ASO	genotypeThy1-ASO	3.7008391746524567	-0.3178240651507425	1.029821474103188	7.397578876346955e-4	0.3110257437195109	0.0014789685335370739	0.2851117654384325	NA	linear	32	26
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__Clostridia_unclassified	s__Clostridia_bacterium	t__SGB41510	cohort	Fp7	cohortFp7	0.9402121660737187	-0.12541464670059543	0.29667561730936876	0.0018467196220051108	0.3110257437195109	0.0036900288706479233	0.33696658758774134	NA	linear	32	31
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28854	s__GGB28854_SGB41523	t__SGB41523	cohort	Fp7	cohortFp7	1.5699850755475355	-0.12541464670059543	0.46892062273546786	0.0015399968369584904	0.3110257437195109	0.0030776220836591386	0.33696658758774134	NA	linear	32	28
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Pumilibacteraceae	g__Pumilibacter	s__Pumilibacter_sp_CLA_AA_M10	t__SGB41020	genotype	Thy1-ASO	genotypeThy1-ASO	-1.598391591448388	-0.3178240651507425	0.370479395230377	0.0022505480732236682	0.3110257437195109	0.004496031179817445	0.33696658758774134	NA	linear	32	30
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB27761	cohort	Fp7	cohortFp7	2.9397273388139964	-0.12541464670059543	0.8562195329535108	0.0020861845711883653	0.3110257437195109	0.004168016976311665	0.33696658758774134	NA	linear	32	22
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28933	s__GGB28933_SGB41634	t__SGB41634	genotype	Thy1-ASO	genotypeThy1-ASO	-2.340974002873327	-0.3178240651507425	0.602791534176963	0.0027329628072799705	0.3143269061308203	0.005458456528853966	0.33696658758774134	NA	linear	32	28
k__Bacteria	p__Candidatus_Saccharibacteria	c__CFGB9318	o__OFGB9318	f__FGB9318	g__GGB73364	s__GGB73364_SGB102608	t__SGB102608	genotype	Thy1-ASO	genotypeThy1-ASO	4.868526091151375	-0.3178240651507425	1.0749758121392163	0.002956765397757355	0.3143269061308203	0.005904788333897336	0.33696658758774134	NA	linear	32	9
