Kingdom	Phylum	Class	Order	Family	Genus	Species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28851	s__GGB28851_SGB41518	t__SGB41518	cohort	Fp7	cohortFp7	2.432052443466203	-0.12541464670059543	0.49264590244245976	1.8690990868597268e-5	0.025830949380401425	1.8690990868597268e-5	0.01599948818351926	NA	linear	32	32
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1xD42_87	t__SGB29426	genotype	ASO	genotypeASO	2.481753119487733	-0.3178240651507425	0.6316746180661358	2.5132221471380056e-4	0.1736636503672362	5.025812665719927e-4	0.21510478209281286	NA	linear	32	24
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41569	cohort	Fp7	cohortFp7	1.3248983329908264	-0.12541464670059543	0.4080369680562214	0.0016430354930908608	0.31620688530357544	0.0016430354930908608	0.28128767641715535	NA	linear	32	32
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	cohort	Fp7	cohortFp7	2.5949557020033946	-0.12541464670059543	0.7372792551827071	9.947675803800848e-4	0.31620688530357544	9.947675803800848e-4	0.28128767641715535	NA	linear	32	32
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28933	s__GGB28933_SGB41634	t__SGB41634	genotype	ASO	genotypeASO	-2.340974002873327	-0.3178240651507425	0.602791534176963	0.0027362120316385408	0.31620688530357544	0.005464937206994999	0.33897897220073275	NA	linear	32	28
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	ASO	genotypeASO	3.7008391746524567	-0.3178240651507425	1.029821474103188	7.423276816138635e-4	0.31620688530357544	0.0014841043128408368	0.28128767641715535	NA	linear	32	26
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__Clostridia_unclassified	s__Clostridia_bacterium	t__SGB41510	cohort	Fp7	cohortFp7	0.9402121660737187	-0.12541464670059543	0.29667561730936876	0.0018901533219169986	0.31620688530357544	0.0037767339642536452	0.33897897220073275	NA	linear	32	31
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28854	s__GGB28854_SGB41523	t__SGB41523	cohort	Fp7	cohortFp7	1.5699850755475355	-0.12541464670059543	0.46892062273546786	0.0015470529507917163	0.31620688530357544	0.00309171252875088	0.33897897220073275	NA	linear	32	28
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Pumilibacteraceae	g__Pumilibacter	s__Pumilibacter_sp_CLA_AA_M10	t__SGB41020	genotype	ASO	genotypeASO	-1.598391591448388	-0.3178240651507425	0.370479395230377	0.0022950304681286227	0.31620688530357544	0.004584793771407608	0.33897897220073275	NA	linear	32	30
k__Bacteria	p__Candidatus_Saccharibacteria	c__CFGB9318	o__OFGB9318	f__FGB9318	g__GGB73364	s__GGB73364_SGB102608	t__SGB102608	genotype	ASO	genotypeASO	4.868526091151375	-0.3178240651507425	1.0749758121392163	0.0029744497170379747	0.31620688530357544	0.005940052082956765	0.33897897220073275	NA	linear	32	9
