"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB41020"	"cohort"	"Fp7"	"cohortFp7"	-2.39436495044741	0.0757360080013366	0.430585615275695	1.14207282033707e-05	0.0115463562136078	1.14207282033707e-05	0.00729784532195388	NA	"abundance"	32	28
"t__SGB43259"	"cohort"	"Fp7"	"cohortFp7"	2.80600565378471	0.0757360080013366	0.486918277630375	1.09120504809823e-05	0.0115463562136078	1.09120504809823e-05	0.00729784532195388	NA	"abundance"	32	30
"t__SGB59498"	"treatment"	"benCom"	"treatmentbenCom"	7.81927776151591	0.260166392154963	1.07210559133398	2.25137187621627e-05	0.0151742464456976	4.50269306567928e-05	0.0171131118994583	NA	"abundance"	32	15
"t__SGB59498"	"cohort"	"Fp7"	"cohortFp7"	5.83824821800048	0.0757360080013366	0.89698789249282	5.35621655695095e-05	0.0270756746953871	5.35621655695095e-05	0.0171131118994583	NA	"abundance"	32	15
"t__SGB43259"	"treatment"	"benCom"	"treatmentbenCom"	2.73776812044924	0.260166392154963	0.525931849772972	9.76422170566593e-05	0.039486512577713	0.000195274900110767	0.0415935537235933	NA	"abundance"	32	30
"t__SGB41431"	"cohort"	"Fp7"	"cohortFp7"	3.42210502266813	0.0757360080013366	0.734960194047245	0.000167235961182621	0.0563585189185434	0.000167235961182621	0.0415935537235933	NA	"abundance"	32	27
"t__SGB41020"	"treatment"	"Fp"	"treatmentFp"	2.25905216360723	0.339078519110779	0.430585615275695	0.000236570137055914	0.0683349738752939	0.000236570137055914	0.0431909478796368	NA	"abundance"	32	28
"t__SGB40964"	"treatment"	"benCom"	"treatmentbenCom"	5.33107206019144	0.260166392154963	0.765901018427456	0.000320622197873544	0.0716412404705786	0.000641141597153318	0.081937896116194	NA	"abundance"	32	11
"t__SGB41555"	"treatment"	"benCom"	"treatmentbenCom"	-4.93571124430335	0.260166392154963	1.08233931709021	0.000297814237127603	0.0716412404705786	0.000297814237127603	0.0475758243811345	NA	"abundance"	32	18
"t__SGB41719"	"cohort"	"Fp7"	"cohortFp7"	-4.78059606846713	0.0757360080013366	1.14391822896884	0.000354308805492476	0.0716412404705786	0.000354308805492476	0.0503118503799316	NA	"abundance"	32	26
"t__SGB41484"	"treatment"	"Fp"	"treatmentFp"	-4.81926340381483	0.339078519110779	1.25380438861889	0.000844206581086193	0.110304389058741	0.00168770047742084	0.13668512691354	NA	"abundance"	32	19
"t__SGB41569"	"cohort"	"Fp7"	"cohortFp7"	2.17172150787947	0.0757360080013366	0.541322863129496	0.000866089438981921	0.110304389058741	0.00173142876704753	0.13668512691354	NA	"abundance"	32	30
"t__SGB41580"	"treatment"	"Fp"	"treatmentFp"	-3.16332572987531	0.339078519110779	0.847759697309074	0.00075922840241871	0.110304389058741	0.00151788037707038	0.13668512691354	NA	"abundance"	32	21
"t__SGB41666"	"treatment"	"benCom"	"treatmentbenCom"	-3.16050290716751	0.260166392154963	0.886036489661455	0.000820036319866269	0.110304389058741	0.00163940018016664	0.13668512691354	NA	"abundance"	32	28
"t__SGB43003"	"treatment"	"Fp"	"treatmentFp"	-3.20010714644366	0.339078519110779	0.939938834434241	0.000856531480110112	0.110304389058741	0.000856531480110112	0.0929568145183455	NA	"abundance"	32	32
"t__SGB43523"	"treatment"	"Fp"	"treatmentFp"	-1.789832590192	0.339078519110779	0.559459387000542	0.000872833939139395	0.110304389058741	0.000872833939139395	0.0929568145183455	NA	"abundance"	32	32
"t__SGB94872"	"treatment"	"benCom"	"treatmentbenCom"	8.13076814204612	0.260166392154963	0.994213140845064	0.0014185863949836	0.16872833474452	0.00283516040260717	0.181166749726598	NA	"abundance"	32	7
"t__SGB14802"	"cohort"	"Fp7"	"cohortFp7"	-0.773032839664043	0.0757360080013366	0.211769912157177	0.00181819026410812	0.204243373001479	0.00181819026410812	0.13668512691354	NA	"abundance"	32	32
"t__SGB102295"	"treatment"	"Fp"	"treatmentFp"	-1.40891976733266	0.339078519110779	0.491126809479012	0.00212898784968663	0.21964009469712	0.00425344311010914	0.247086377032704	NA	"abundance"	32	27
