"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB41020"	"cohort"	"Fp7"	"cohortFp7"	-2.39436495044741	0.0757360080013366	0.430585615275695	1.14207282033707e-05	0.0115463562136078	1.14207282033707e-05	0.00729784532195388	NA	"abundance"	32	28
"t__SGB43259"	"cohort"	"Fp7"	"cohortFp7"	2.80600565378471	0.0757360080013366	0.486918277630375	1.09120504809823e-05	0.0115463562136078	1.09120504809823e-05	0.00729784532195388	NA	"abundance"	32	30
"t__SGB59498"	"treatment"	"benCom"	"treatmentbenCom"	7.81927776151591	0.260166392154963	1.07210559133398	2.25137187621627e-05	0.0151742464456976	4.50269306567928e-05	0.0171131118994583	NA	"abundance"	32	15
"t__SGB59498"	"cohort"	"Fp7"	"cohortFp7"	5.83824821800048	0.0757360080013366	0.89698789249282	5.35621655695095e-05	0.0270756746953871	5.35621655695095e-05	0.0171131118994583	NA	"abundance"	32	15
"t__SGB43259"	"treatment"	"benCom"	"treatmentbenCom"	2.73776812044924	0.260166392154963	0.525931849772972	9.76422170566593e-05	0.039486512577713	0.000195274900110767	0.0415935537235933	NA	"abundance"	32	30
"t__SGB41431"	"cohort"	"Fp7"	"cohortFp7"	3.42210502266813	0.0757360080013366	0.734960194047245	0.000167235961182621	0.0563585189185434	0.000167235961182621	0.0415935537235933	NA	"abundance"	32	27
"t__SGB41020"	"treatment"	"Fp"	"treatmentFp"	2.25905216360723	0.339078519110779	0.430585615275695	0.000236570137055914	0.0683349738752939	0.000236570137055914	0.0431909478796368	NA	"abundance"	32	28
"t__SGB40964"	"treatment"	"benCom"	"treatmentbenCom"	5.33107206019144	0.260166392154963	0.765901018427456	0.000320622197873544	0.0716412404705786	0.000641141597153318	0.081937896116194	NA	"abundance"	32	11
"t__SGB41555"	"treatment"	"benCom"	"treatmentbenCom"	-4.93571124430335	0.260166392154963	1.08233931709021	0.000297814237127603	0.0716412404705786	0.000297814237127603	0.0475758243811345	NA	"abundance"	32	18
"t__SGB41719"	"cohort"	"Fp7"	"cohortFp7"	-4.78059606846713	0.0757360080013366	1.14391822896884	0.000354308805492476	0.0716412404705786	0.000354308805492476	0.0503118503799316	NA	"abundance"	32	26
"t__SGB43003"	"treatment"	"Fp"	"treatmentFp"	-3.20010714644366	0.339078519110779	0.939938834434241	0.000856531480110112	0.110304389058741	0.000856531480110112	0.0929568145183455	NA	"abundance"	32	32
"t__SGB43523"	"treatment"	"Fp"	"treatmentFp"	-1.789832590192	0.339078519110779	0.559459387000542	0.000872833939139395	0.110304389058741	0.000872833939139395	0.0929568145183455	NA	"abundance"	32	32
"t__SGB43259"	"treatment"	"benCom"	"treatmentbenCom"	-2.11869367716497	0	1.83411686376879	0.248025973965059	0.614137206110724	0.000195274900110767	0.0415935537235933	NA	"prevalence"	32	30
"t__SGB40964"	"treatment"	"benCom"	"treatmentbenCom"	-3.67508167073978e-15	0	0.982184098271181	0.999999999999997	1	0.000641141597153318	0.081937896116194	NA	"prevalence"	32	11
"t__SGB59498"	"treatment"	"benCom"	"treatmentbenCom"	-1.17119375398705e-15	0	1.07509543663066	0.999999999999999	1	4.50269306567928e-05	0.0171131118994583	NA	"prevalence"	32	15
"t__SGB59498"	"cohort"	"Fp7"	"cohortFp7"	1.45274990324686	0	1.02968825397808	0.158284772072447	0.571521289101884	5.35621655695095e-05	0.0171131118994583	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	32	15
"t__SGB41020"	"cohort"	"Fp7"	"cohortFp7"	-2.11869353644249	0	1.83373171275332	0.247926680780486	0.614137206110724	1.14207282033707e-05	0.00729784532195388	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	32	28
"t__SGB41020"	"treatment"	"Fp"	"treatmentFp"	2.11869353644249	0	1.83373171275331	0.247926680780484	0.614137206110724	0.000236570137055914	0.0431909478796368	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	32	28
"t__SGB41431"	"cohort"	"Fp7"	"cohortFp7"	0.69225551754946	0	1.2003255076389	0.564126485793204	0.840577563945366	0.000167235961182621	0.0415935537235933	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	32	27
"t__SGB41555"	"treatment"	"benCom"	"treatmentbenCom"	-0.522023403868402	0	1.02968825397808	0.612174267133193	0.851032830977189	0.000297814237127603	0.0475758243811345	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	32	18
"t__SGB41719"	"cohort"	"Fp7"	"cohortFp7"	-3.64948596629103e-16	0	1.07509543663066	1	1	0.000354308805492476	0.0503118503799316	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	32	26
"t__SGB43259"	"cohort"	"Fp7"	"cohortFp7"	1.10198540097339e-15	0	2.36053777486575	1	1	1.09120504809823e-05	0.00729784532195388	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	32	30
"t__SGB43003"	"treatment"	"Fp"	"treatmentFp"	NA	0	NA	NA	NA	0.000856531480110112	0.0929568145183455	"All logistic values are the same"	"prevalence"	32	32
"t__SGB43523"	"treatment"	"Fp"	"treatmentFp"	NA	0	NA	NA	NA	0.000872833939139395	0.0929568145183455	"All logistic values are the same"	"prevalence"	32	32
